"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","04","N","2007022374","2","1","","1","03","Y","TOYT","2003","01","1","","1","00","E","999","0","","3","01","05","12","06","PA","2","01","4T1BE30K63U","P4D"
"","04","N","2007027487","3","1","","1","12","Y","MAZD","1993","01","1","","1","00","S","025","0","","2","01","09","01","01","PA","2","01","JM1BG2242P0","P4D"
"","04","N","2007047922","2","1","","4","12","Y","HOND","2002","02","1","","1","00","W","999","0","","1","01","05","01","13","PA","1","01","2HGES16502H","P4D"
"","49","N","2007022397","2","1","","1","12","Y","FORD","2000","02","1","","1","00","N","020","0","","1","01","03","01","98","NJ","1","07","2FM2A5149YB",""
"","15","N","2007049064","3","1","","1","02","Y","TOYT","2000","01","1","","1","00","S","999","0","","1","01","07","12","05","PA","1","01","JT3HP10VXY7","PUT"
"","09","N","2007056183","3","1","","1","00","U","DODG","1987","01","1","","2","00","S","999","0","","1","01","02","99","13","PA","0","01","1ZB4FR137HR","P"
"","04","N","2007047949","1","1","","1","01","Y","FORD","2001","02","3","","1","13","N","999","0","","1","01","03","01","06","PA","1","01","2FAFP71W71X","P4D"
"","09","N","2007047983","9","2","","1","99","U","UNKN","9999","","0","","1","00","S","000","","","3","02","99","06","09","ZZ","2","01","99999999999",""
"","04","N","2007049049","2","1","","1","12","Y","CHEV","1993","01","1","","1","00","S","040","0","","1","01","01","08","06","PA","1","01","2G1WL54T3P9","P4D"
"","04","N","2007022503","2","1","","1","03","Y","BUIC","2001","02","3","","1","00","N","030","0","","2","01","07","01","01","PA","2","01","2G4WS52J411","P4D"
"","51","N","2007022333","0","1","","1","11","Y","FORD","1997","02","1","","1","00","W","015","0","","1","01","02","01","00","PA","1","04","1FTDF17W4VL","TPK"
"","09","N","2007022366","9","4","","1","11","U","HOND","","99","1","","1","00","N","999","0","","1","05","08","12","03","ZZ","1","01","99999999999","P"
"","04","N","2007017931","3","1","","1","02","Y","TOYT","1996","01","2","","1","00","S","010","","","1","01","01","01","05","PA","2","01","JT2BG12K3T0","P4D"
"","","N","2007022694","0","1","","9","99","","","","00","1","","9","00","S","999","","","2","11","99","99","99","","2","20","",""
"","79","Y","2007022772","9","4","","1","03","U","UNKN","","99","1","","1","21","N","999","1","","1","05","03","15","06","","1","05","",""
"","05","N","2007022808","3","1","","1","01","Y","MAZD","2006","01","1","","1","00","S","999","","","2","01","09","01","13","PA","2","01","1YVHP84D465","P4H"
"","03","N","2007023836","3","1","","1","03","Y","HOND","1995","01","1","","4","00","S","999","0","","1","01","01","16","01","PA","1","01","2HGEH2365SH","P2H"
"","04","N","2007027641","2","1","","2","09","Y","AUDI","2005","01","1","","3","00","E","999","0","","5","01","12","17","04","PA","2","01","WAULC68EX5A","P4D"
"","04","N","2007027651","1","2","","1","04","U","TOYT","1993","","0","","1","00","W","000","0","","2","02","07","06","00","PA","2","01","4T1SK12E5PU","P4D"
"","","N","2007027667","","","","","","","","","00","1","","","","","000","","","3","31","","","","","2","","",""
"","09","N","2007027676","3","1","","1","12","Y","TOYT","1990","01","2","","1","00","N","999","0","","1","01","03","01","01","PA","1","01","4T1SU21E5LU","P"
"","15","N","2007027680","0","1","","1","01","Y","TOYT","2001","01","1","","1","00","S","999","0","","1","01","05","12","01","PA","1","06","5TDBT48A91S","PUT"
"","04","N","2007027708","2","1","","1","03","Y","PLYM","1992","01","2","","1","00","S","999","0","","2","01","02","01","07","PA","2","01","1P3XA4636NF","P4D"
"","12","N","2007027725","3","1","","2","01","U","DODG","1993","01","1","","4","00","N","999","0","","1","01","02","16","11","PA","1","07","1B4GH44R6PX","PSV"
"","73","N","2007027739","1","2","","1","06","Y","FRHT","1996","","0","","1","99","N","000","0","","3","02","03","06","01","PA","2","05","4UZM43E26T2","TIC"
"","51","N","2007027751","2","1","","1","03","Y","GMC","1988","01","1","","1","00","W","999","0","","2","01","99","01","01","PA","2","04","2GTFC29K5J1","TPC"
"","01","N","2007027761","9","1","","1","12","Y","OLDS","1991","01","1","","1","00","W","999","0","","1","01","11","01","99","PA","1","01","1G3WH14T8MD","PCP"
"","01","N","2007027823","3","1","","1","12","Y","ACUR","1997","02","1","","1","00","S","999","0","","1","01","07","01","01","PA","1","01","19UYA1252VL","PCP"
"","03","N","2007027831","3","3","","1","12","U","ACUR","1994","99","1","","1","00","S","999","0","","1","01","05","01","99","PA","1","01","JH4DC4453RS","P2H"
"","04","N","2007027805","2","1","","1","05","Y","TOYT","1998","01","1","","1","00","S","999","0","","2","01","01","98","03","PA","2","01","4T1BG28K4WU","P4D"
"","04","N","2007022528","1","1","","1","06","Y","FORD","2002","01","1","","1","00","E","005","0","","2","01","04","01","06","PA","2","01","3FAFP13P12R","P4D"
"","15","N","2007027504","2","1","","1","03","Y","JEEP","2007","01","1","","1","00","W","999","0","","2","01","08","01","98","NJ","1","06","1J8FT57W57D","T4W"
"","04","N","2007027583","3","1","","1","01","Y","HOND","2000","02","1","","1","00","W","999","0","","1","01","05","04","07","PA","1","01","2HGEJ8640YH","P4D"
"","04","N","2007027508","2","1","","1","11","Y","DODG","2006","02","3","","1","00","W","999","0","","2","01","02","01","06","PA","2","01","2B3KA43R26H","P4D"
"","15","N","2007027532","1","1","","1","11","Y","JEEP","2007","01","2","","1","00","E","000","0","","3","01","05","03","03","PA","2","06","1J4GL48K17W","T4W"
"","04","N","2007027546","3","2","","1","05","Y","BUIC","1998","","0","","1","00","E","000","0","","2","02","01","06","13","PA","3","01","1G4HP52K6WH","P4D"
"","15","N","2007027603","1","1","","4","06","Y","TOYT","2003","01","1","","1","00","W","000","0","","2","01","01","03","98","PA","2","01","JTEHH20V936","PUT"
"","12","N","2007027621","3","1","","1","12","Y","OLDS","1991","02","1","","3","00","N","999","0","","1","01","03","17","11","PA","1","07","1GHCU06D0MT","PSV"
"","12","N","2007030085","2","1","","1","12","Y","TOYT","2006","01","2","","1","00","E","025","0","","1","01","07","01","01","PA","1","07","5TDZA23C86S","PSV"
"","04","N","2007030100","2","1","","1","11","Y","VOLK","1993","01","1","","1","00","E","999","0","","1","01","07","01","00","PA","1","01","3VWRL21H9PM","P4D"
"","04","N","2007030085","2","2","","1","07","Y","TOYT","2006","","1","","1","00","E","000","0","","2","02","07","06","01","PA","2","01","JTDBR32E260","P4D"
"","","N","2007027985","9","1","","9","12","","","","00","1","","1","00","W","999","","","2","11","","01","06","","2","20","",""
"","04","N","2007027994","3","1","","1","02","Y","FORD","1999","98","1","","1","13","W","999","0","","2","01","03","01","01","PA","2","01","2FAFP71W3XX","P4D"
"","04","N","2007029242","3","1","","1","11","Y","HYUN","2003","02","3","","1","00","E","999","0","","1","01","07","01","03","PA","1","01","KMHCG45C63U","P4D"
