"CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ROUTE","SEGMENT","OFFSET","RDWY_ORIENT","LANE_COUNT","SPEED_LIMIT","STREET_NAME","ROAD_OWNER","ACCESS_CTRL","RDWY_COUNTY"
"2007058277","3","3","0076","3414","2429","E","03","50","SCHUYLKILL EX","1","1","67"
"2007058324","3","3","0076","0051","1070","S","02","50","","1","","67"
"2007058327","7","7","","","","W","04","30","SOLLY AV","4","","67"
"2007057760","3","3","0532","0061","510","S","02","35","BUSTLETON AV","2","3","67"
"2007057765","4","4","","","","W","02","","PIKE ST","4","","67"
"2007057769","7","7","","","","E","02","","SOUTHAMPTON RD","4","","67"
"2007057774","3","3","2008","0020","548","E","02","25","GIRARD AV","2","3","67"
"2007057780","3","4","","","","W","02","","WYOMING AV","4","","67"
"2007057784","3","3","3004","0041","1788","W","02","","SIXTYTHIRD ST","2","3","67"
"2007061229","3","3","0076","3445","1964","W","02","50","","1","1","67"
"2007058597","3","3","0232","0062","1248","N","02","25","OXFORD AV","2","3","67"
"2007058635","3","3","","","","E","02","","JOHNSON ST","4","","67"
"2007058638","5","5","","","","E","02","25","WHARTON ST","4","","67"
"2007058643","3","3","","","","E","02","25","EASTON RD","4","","67"
"2007058650","3","3","4005","0050","1521","S","02","25","GERMANTOWN AV","2","3","67"
"2007058665","5","4","1010","0014","0","E","02","","PRINCETON AV","2","3","67"
"2007058767","3","3","0611","0150","564","N","04","30","BROAD ST","2","3","67"
"2007060526","4","3","","","","E","01","15","EDGEWOOD ST","4","","67"
"2007061844","3","3","0076","3441","2046","W","02","50","SCHUYLKILL EX","1","1","67"
"2007059595","3","3","0076","","","W","04","50","SCHUYLKILL EX","1","","67"
"2007057291","3","3","0013","0100","0","S","02","25","THIRTYTHIRD ST","2","3","67"
"2007057332","3","3","","","","W","02","25","LAWNBROOK RD","4","","67"
"2007057338","3","3","4021","0040","1334","E","02","25","WADSWORTH AV","2","3","67"
"2007057342","3","3","2009","0010","2913","N","02","","ARAMINGO AV","2","3","67"
"2007057361","3","3","3009","0180","0","N","02","35","RIDGE AV","2","3","67"
"2007057365","3","4","","","","N","02","25","BELFIELD AV","4","","67"
"2007057369","3","4","","","","W","02","25","LEVICK ST","4","","67"
"2007057374","3","3","3019","0100","492","N","01","35","PASSYUNK AV","2","3","67"
"2007057967","3","4","","","","E","01","","TURNER ST","4","","67"
"2007057977","4","5","","","","E","02","","STADIUM ACCESS RD","4","","67"
"2007057981","3","3","0076","3451","2482","W","02","50","SCHUYLKILL EX","1","","67"
"2007057986","4","4","3005","0131","0","S","02","35","BELMONT AV","2","3","67"
"2007057380","4","4","1001","0010","220","E","02","35","RISING SUN AV","2","3","67"
"2007057385","5","4","","","","N","02","","65TH ST","4","","67"
"2007057389","4","5","","","","N","04","25","FIFTEENTH ST","4","","67"
"2007057392","4","4","","","","E","04","25","PIKE ST","4","","67"
"2007057398","3","3","1002","0081","0","W","02","35","ADAMS AV","2","3","67"
"2007057400","6","5","0532","0010","50","E","02","35","WELSH RD","2","3","67"
"2007057405","4","3","","","","N","02","","THORNTON RD","4","","67"
"2007057409","4","4","","","","N","02","","SEVENTYSECOND ST","4","","67"
"2007057416","3","4","","","","U","02","25","WILLITS RD","4","","67"
"2007057420","4","4","0030","0061","0","W","01","50","GIRARD AV","2","3","67"
"2007057423","4","4","","","","S","02","25","SEVENTH ST","4","","67"
"2007057427","7","7","3019","0010","0","N","02","35","BARTRAM AV","2","3","67"
"2007057429","6","6","1010","0010","2901","E","02","25","PRINCETON AV","2","3","67"
"2007057987","5","3","3014","0020","305","E","03","25","","2","3","67"
"2007058005","3","4","","","","E","02","25","BUTLER ST","4","","67"
"2007058009","4","4","","","","N","02","25","KENSINGTON AV","4","","67"
"2007058015","4","3","","","","S","99","","FRANKLIN ST","4","","67"
"2007058018","4","3","","","","N","01","","2ND ST","4","","67"
"2007058049","3","3","4005","0020","2887","N","02","25","GERMANTOWN AV","2","3","67"
"2007058107","5","4","","","","W","04","","WOLF ST","4","","67"
"2007057512","4","4","","","","N","02","","GILBERT ST","4","","67"
"2007057518","4","3","","","","E","02","","CRITTENDEN ST","4","","67"
"2007057530","3","4","","","","N","02","25","FRONT ST","4","","67"
"2007057534","3","3","0095","0320","1288","N","99","","","1","1","67"
"2007057543","3","3","0076","3425","2578","W","03","50","SCHUYLKILL EX","1","1","67"
"2007058123","3","3","2004","0010","1712","E","02","","MARKET ST","2","3","67"
"2007058127","3","3","1009","0090","1101","N","02","25","BUSTLETON AV","2","3","67"
"2007058131","4","3","","","","S","02","25","12TH ST","4","","67"
"2007058134","8","8","3019","0011","0","S","02","35","BARTRAM AV","2","3","67"
"2007058141","3","3","8003","0510","2422","N","01","25","RAMP RD","2","1","67"
"2007058150","3","3","0095","0294","2931","N","4","55","DELAWARE EX","1","1","67"
"2007058154","3","3","0291","0160","2269","E","03","25","BROAD ST","2","3","67"
"2007058168","3","3","2001","0160","2320","N","02","25","RICHMOND ST","2","3","67"
"2007001511","3","3","0001","0071","536","S","02","35","CITY AV","2","3","67"
"2007023186","4","4","8012","0010","0","W","04","35","","2","1","67"
"2007023227","3","4","","","","E","01","25","SERGEANT ST","4","","67"
"2007023627","3","3","0001","0051","1891","S","02","35","CITY AV","2","3","67"
"2007019658","6","6","0001","0381","3012","S","03","45","ROOSEVELT BL","2","3","67"
"2007022067","3","3","0532","0060","1279","N","02","35","BUSTLETON AV","2","3","67"
"2007022099","3","3","1001","0120","2208","N","02","35","VERREE RD","2","3","67"
"2007022111","4","3","","","","S","01","25","MEMPHIS ST","4","","67"
"2007022140","3","4","3005","0141","1089","S","02","35","BELMONT AV","2","3","67"
"2007022146","4","4","","","","S","01","25","TWELFTH ST","4","","67"
"2007022164","3","4","","","","W","99","","GRAYS FERRY AV","4","","67"
"2007022168","4","3","","","","N","99","","7TH ST","4","","67"
"2007022173","4","5","","","","S","01","25","THIRTYSIXTH ST","4","","67"
"2007017943","3","3","0001","0051","679","S","02","35","CITY AV","2","3","67"
"2007022181","3","3","3021","0071","3393","S","02","25","GRAYS FERRY AV","2","3","67"
"2007022220","3","4","","","","N","02","25","CONCOURSE DR","4","","67"
"2007022227","3","3","0095","0185","515","S","03","55","DELAWARE EX","1","1","67"
"2007022240","4","4","","","","E","04","35","VINE ST","4","","67"
"2007022247","3","3","0013","0251","2046","S","02","30","FRANKFORD AV","2","3","67"
"2007022262","6","6","8033","0760","0","N","01","","RAMP E RD","2","1","67"
"2007022281","3","3","","","","S","02","30","OLD BUSTLETON AV","4","","67"
"2007022286","4","4","","","","E","02","","WARREN ST","4","","67"
"2007022293","3","3","2007","0110","533","S","02","","FRANKFORD AV","2","3","67"
"2007022301","3","3","0003","0020","518","E","01","35","COBBS CREEK PY","2","3","67"
"2007022311","3","3","0291","0101","1317","W","03","40","PENROSE AV","2","3","67"
"2007022316","3","3","1007","0030","0","N","02","25","TACONY ST","2","3","67"
"2007022319","3","3","0611","0130","2242","N","02","30","BROAD ST","2","3","67"
"2007022323","3","3","0073","0061","1099","W","02","30","COTTMAN AV","2","3","67"
"2007022349","4","4","","","","E","02","25","VALLEY AV","4","","67"
"2007022361","3","3","0676","0014","1010","E","02","50","ET","1","1","67"
"2007022367","5","5","3009","0020","1958","E","02","35","RIDGE AV","2","3","67"
"2007022370","3","3","2006","","","W","02","25","SPRING GARDEN ST","2","","67"
"2007022374","7","8","1018","0031","60","W","03","","GRANT AV","2","3","67"
"2007022381","3","3","1008","0030","1789","N","02","25","LEVICK ST","2","3","67"
"2007022383","6","6","1005","0151","0","S","02","30","CASTOR AV","2","3","67"
"2007022391","4","4","0291","0180","1956","E","03","25","BROAD ST","2","3","67"
"2007022395","4","3","","","","N","01","15","VODGES ST","4","","67"
"2007022398","4","4","","","","E","01","","CUMBERLAND DR","4","","67"
"2007022489","3","3","1004","0090","1822","S","02","30","TORRESDALE AV","2","3","67"
"2007022497","4","4","","","","E","04","25","CHELTENHAM AV","4","","67"
"2007022510","3","3","","","","N","02","25","9TH ST","4","","67"
"2007022518","4","4","","","","S","02","","TENTH ST","4","","67"
"2007022533","3","4","","","","E","02","","JEFFERSON ST","4","","67"
"2007022684","3","3","1001","0040","1950","N","02","35","RISING SUN AV","2","3","67"
"2007022688","6","6","1008","0020","2151","W","03","25","LEVICK ST","2","3","67"
"2007022693","3","4","","","","N","99","","29TH ST","4","","67"
"2007022695","7","7","","","","S","99","","SIXTEENTH ST","4","","67"
"2007022715","3","3","0076","3401","350","W","4","50","SCHUYLKILL EX","1","1","67"
"2007022736","3","3","1004","0200","30","N","02","30","TORRESDALE AV","2","3","67"
"2007022755","4","4","","","","E","99","","BLAVIS ST","4","","67"
"2007022769","3","7","6001","0250","0","N","03","40","ROOSEVELT BL","2","3","67"
"2007022770","4","4","2007","0151","0","W","02","25","FRANKFORD AV","2","3","67"
"2007022779","3","3","","","","N","02","35","HALDEMAN AV","4","","67"
