"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2007022300,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","","","3","99999999","11"
2007022318,"99","8","734 SCHUYLKILL AVE","","PHILADELPHIA","PA","19146","SCHOOL DISTRICT OF PHILA","9999999999","","","","","","N","","","","","","","","1","99999999","11"
2007022497,"02","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19151","SEPTA","9999999999","999999","","","","","N","","","","","","N","","3","99999999","11"
2007028270,"99","1","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","","","","","","N","","","","","","","","2","99999999","06"
2007032961,"","8","100 S BROAD ST 3FL","","PHILA","PA","19110","SEPTA","2156852514","","","","","","N","","","","","","N","","1","99999999","11"
2007032961,"99","7","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","","","","","","N","","","","","","","","2","99999999","05"
2007046706,"02","1","15 E OREGON AVE","","PHILA","PA","19148","UNITED PARCEL SERVICE","8008747447","017000","","","","","N","","","","","","N","","3","","03"
2007046819,"99","9","607 COUNTY PLACE DR","","LANCASTER","PA","17601","WILLIAM PAGE","9999999999","080000","","","","","N","","","","","","N","","1","99999999","08"
2007047060,"99","8","1234 MARKET STREET","","PHILADELPHIA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","U","","2","99999999","11"
2007047128,"99","8","POB 167 700 ASHLAND AVE","","FOLCROFT","PA","19032","DELAWARE COUNTY TRANSPORTATION S","9999999999","999999","","","","","N","","","","","","U","","2","99999999","11"
2007048907,"99","1","7703 N 59TH ST","","SUMMIT","IL","60501","DANA TRANSPORT","9999999999","099999","","","","","N","","","","","","N","","1","00000009","08"
2007054647,"05","1","1019 AVONDALE DR","","RED HILL","PA","18076","THEODIKER SOUNANNAVONG","2672611310","017000","","","","","N","","","","","","N","","1","00212340","08"
2007056571,"99","9","UNKNOWN","","UNKNOWN","ZZ","999999999","UNKNOWN","9999999999","011400","","","","","N","","","","","","U","","2","99999999","99"
2007058320,"04","7","508 E BALTIMORE AVE","","LANSDOWN","PA","19050","ACCURATE TRASH REMOVAL","6102846600","073280","","","","","N","","","","","","N","","1","99999999","04"
2007058320,"02","8","1234 MARKET ST","14TH FLR","PHILA","PA","19107","SOUTHEASTERN TRANSPORTATION AUTH","2155807145","999999","","","","","N","","","","","","N","","2","99999999","10"
2007065641,"99","1","150 WELLS AVENUE","","FT WAYNE","IN","16803","MATUSZKO PENSKE TRUCK LEASING","6179645340","","","","","","N","","","","","000143214","N","","1","00056064","08"
2007065653,"99","1","12 SOUTH 23RD ST","","PHILADELPHIA","PA","99999","PHILA HOUSING AUTHORITY","9999999999","015000","","","","","N","","","","","","","","1","99999999","05"
2007066308,"99","9","104 E COLONIAL ST","","PHILADELPHIA","PA","19120","ANDREW BENT","9999999999","080000","","","","","N","","","","","","","","2","99999999","99"
2007067101,"99","1","151 BOUL. INDUSTRIAL","","NAPIERVILLE","QC","99999","NORMANDIN TRANSIT INC","9999999999","","","","","","N","","","","","","","","3","99999999","08"
2007067134,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","","","1","99999999","11"
2007067231,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","","","2","99999999","10"
2007067353,"99","9","50 DELANCY ST","","NEW YORK","NY","10002","AOT TRUCKING","9999999999","999999","","","","","","","","","","","N","","1","99999999","99"
2007067401,"99","8","4070 SKYRON DR","","DOYLESTOWN","PA","18902","FIRST STUDENT","9999999999","999999","","","","","N","","","","","","U","","1","99999999","10"
2007067475,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","","","2","99999999","11"
2007067477,"99","9","1500 N MANTUA ST","","KENT","OH","44240","DAVEY TREE EXPERT CO","9999999999","","","","","","N","","","","","","","","3","99999999","99"
2007075255,"99","1","P O BOX 554","7 CENTRE DR SUITE 4","JAMESBURG","NJ","08831","SYSTEM FREIGHT INC","6093958600","066000","","","","","N","","","","","","N","","1","00143155","08"
2007079939,"99","1","853 E. LYCOMING ST","","PHILADELPHIA","PA","19124","OCONNER TRUCK LEASING","9999999999","","","","","","N","","","","","","","","1","99999999","06"
2007080400,"99","1","10220 W RENO","","OKLAHOMA CITY","OK","73127","US EXPRESS LEASING","9999999999","","","","","","N","","","","","","","","1","99999999","08"
2007081112,"99","8","1234 MARKET ST","14TH FL","PHILADELPHIA","PA","19107","SETPA","9999999999","999999","","","","","N","","","","","","N","","2","99999999","11"
2007081492,"99","8","734 SCHUYKILL AVE","","PHILADELPHIA","PA","19146","SCHOOL DISTRICT OF PHILADELPHIA","9999999999","999999","","","","","N","","","","","","U","","1","99999999","11"
2007081695,"99","9","1121 N 66TH ST","","PHILADELPHIA","PA","99999","SANJANIO NAJIVIDAD","9999999999","","","","","","N","","","","","","","","1","99999999","98"
2007082495,"99","1","310 BORRELLI BLVD","","PAULSBORO","NJ","08066","WILKIE TRUCKING INC","9999999999","","","","","","N","","","","","","","","1","99999999","06"
2007082498,"99","8","UNKNOWN","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","","","2","99999999","11"
2007090901,"02","4","3567 MILLER ST","","PHILADELPHIA","PA","19134","THOMAS J ROONEY","2679794949","175000","","","","","N","","","","","","N","","1","99999999","03"
2007092599,"02","8","1234 MARKST ST","","PHILA","PA","99999","SEPTA","9999999999","099999","","","","","N","","","","","","N","","1","00000009","11"
2007095055,"99","9","100 S. BROAD ST","","PHILADELPHIA","PA","99999","CITY OF PHILADELPHIA","9999999999","","","","","","N","","","","","","","","1","99999999","99"
2007096733,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","","","1","99999999","11"
