"CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ROUTE","SEGMENT","OFFSET","RDWY_ORIENT","LANE_COUNT","SPEED_LIMIT","STREET_NAME","ROAD_OWNER","ACCESS_CTRL","RDWY_COUNTY"
"2011066773","3","3","0291","0041","2332","W","1","40","PENROSE AV","2","3","67"
"2011066781","3","3","3004","0040","290","N","2","35","SIXTYTHIRD ST","2","3","67"
"2011066787","3","3","","","","U","99","15","43RD ST","4","","67"
"2011066791","4","4","0611","0131","618","S","02","30","BROAD ST","2","3","67"
"2011066875","3","3","0095","0211","250","S","3","55","DELAWARE EX","1","1","67"
"2011075645","3","3","","","","E","01","","MORRIS ST","4","","67"
"2011075652","3","3","","","","N","02","25","BYBERRY RD","4","","67"
"2011075657","5","5","","","","E","02","25","PRESIDENT ST","4","","67"
"2011075660","3","3","","","","W","02","25","W THOMPSON ST","4","","67"
"2011075664","3","4","2001","0100","2292","N","3","25","CHRISTOPHER COLUMBUS BL","2","3","67"
"2011075668","3","3","0001","0060","648","N","2","35","CITY AV","2","3","67"
"2011075676","3","3","2003","0060","1309","N","3","25","FIFTH ST","2","3","67"
"2011075681","4","3","","","","N","02","","FIFTH ST","4","","67"
"2011066879","3","3","0076","3454","3462","E","2","50","SCHUYLKILL EX","1","1","67"
"2011077544","7","7","0611","0190","2653","S","4","30","OLD YORK RD","2","3","67"
"2011079425","3","3","0095","0254","1561","N","5","55","DELAWARE EX","1","1","67"
"2011073184","3","3","0291","0060","4675","E","2","40","PENROSE AV","2","3","67"
"2011066027","4","4","","","","S","02","25","REVERE ST","4","","67"
"2011067954","4","3","","","","N","02","25","THIRTYSIXTH ST","4","","67"
"2011073282","4","4","","","","S","02","","FAIRFIELD ST","4","","67"
"2011073286","4","4","","","","N","02","25","BLUE GRASS RD","4","","67"
"2011070721","3","3","0095","0275","1061","S","4","55","DELAWARE EX","1","1","67"
"2011070731","3","3","0095","0205","1377","S","3","55","DELAWARE EX","1","1","67"
"2011070740","4","5","2016","0111","1669","W","2","30","ALLEGHENY AV","2","","67"
"2011083292","3","3","3014","0020","305","W","02","25","SPRING GARDEN ST","2","3","67"
"2011083299","3","3","2001","0090","404","N","2","30","CHRISTOPHER COLUMBUS BL","2","3","67"
"2011083304","4","4","","","","E","02","25","PRATT ST","4","","67"
"2011083308","4","4","2004","0021","449","W","2","25","MARKET ST","2","3","67"
"2011083313","4","4","","","","S","02","","ROWLAND ST","4","","67"
"2011083317","3","4","","","","S","02","","BYBERRY RD","4","","67"
"2011083323","3","3","3009","0020","845","S","2","35","RIDGE AV","2","3","67"
"2011083326","4","4","2014","0061","5","W","2","25","LEHIGH AV","2","3","67"
"2011083330","4","4","9401","0010","0","S","2","35","LEVICK ST","2","3","67"
"2011092918","3","3","1003","0020","0","N","2","25","WHITAKER AV","2","3","67"
"2011092922","4","4","2016","0081","1172","W","2","30","ALLEGHENY AV","2","","67"
"2011092926","5","5","","","","S","02","","LEON ST","4","","67"
"2011092930","4","4","0013","0161","1419","W","4","30","HUNTING PARK AV","2","3","67"
"2011092934","3","3","","","","S","01","","GERMANTOWN AV","4","","67"
"2011092939","4","4","0532","0031","1337","S","2","35","BUSTLETON AV","2","3","67"
"2011092945","4","4","","","","S","03","","EIGHTH ST","4","","67"
"2011092950","4","4","0611","0151","0","S","2","30","BROAD ST","2","3","67"
"2011092953","4","3","","","","S","02","","KESWICK RD","4","","67"
"2011064018","3","3","0611","0040","1255","N","2","30","BROAD ST","2","3","67"
"2011064023","3","3","","","","S","01","15","THIRTYNINTH ST","4","","67"
"2011064028","3","4","","","","N","01","25","ARDLEIGH ST","4","","67"
"2011064032","3","3","0003","0030","585","E","3","35","CHESTNUT ST","2","3","67"
"2011064036","4","4","0611","0181","1129","S","2","30","BROAD ST","2","3","67"
"2011064042","4","3","","","","N","99","","JASPER ST","4","","67"
"2011064048","6","6","","","","N","02","30","MCFARRAN ST","4","","67"
"2011064051","4","5","","","","W","02","35","RISING SUN AV","4","","67"
"2011064054","4","5","","","","E","01","15","WALTON AV","4","","67"
"2011064060","3","3","","","","N","02","25","MCMAHON ST","4","","67"
"2011064064","3","3","6001","0341","0","S","3","45","ROOSEVELT BL","2","3","67"
"2011064069","5","5","1018","0060","0","E","2","45","GRANT AV","2","3","67"
"2011064073","3","3","","","","S","02","","SIXTIETH ST","4","","67"
"2011064078","3","4","","","","E","02","","INDIANA AV","4","","67"
"2011081386","3","3","","","","W","03","45","BEN FRANKLIN BRIDGE BR","4","","67"
"2011069904","5","4","1001","0010","220","E","2","35","RISING SUN AV","2","3","67"
"2011092858","3","3","","","","W","02","25","CHELTEN AV","4","","67"
"2011068347","3","4","","","","E","02","","MEDIA ST","4","","67"
"2011068352","4","3","","","","N","02","","DUNKS FERRY RD","4","","67"
"2011068357","3","3","","","","W","02","25","CATHARINE ST","4","","67"
