"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","UNIT_NUM"
"2012002104","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2012012598","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2012117279","U","U","U","Y","U","U","9","U","U","99999","N","","","","","","","","U","","","","","1"
"2011029037","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2011033489","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","","","","","1"
"2011033524","U","U","U","N","U","U","9","U","U","99999","N","","","","","","","","U","","","","","2"
"2011038020","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","U","","","","","2"
"2011038226","","","","","","","","","","","","","","","","","","","","U","N","U","U","2"
"2011038357","","","","","","","","","","","","","","","","","","","","N","U","N","U","2"
"2011040868","Y","U","U","U","","","0","U","U","99999","N","","","","","","","","U","","","","","1"
"2011047058","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2011051631","U","Y","Y","Y","U","U","1","Y","Y","00929","N","","","","","","","","U","","","","","1"
"2011053567","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","","","","","1"
"2011054026","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2011054304","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2"
"2011056953","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2011056970","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","","","","","1"
