"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2011000064,"03","8","1234 MARKET ST","","PHILADELPHIA","PA","19107","S E P T A","2155803100","035000","","","","","N","","","","","","N","","2","","11"
2011018771,"05","1","6789 WEST LEE HWY","","RURAL RETREAT","VA","24368","HOLSTON TRUCKING COMPANY","2766864126","","","","","","N","","","","","","N","","1","00479785","08"
2011022556,"02","8","100 S BROAD ST","","PHILADELPHIA","PA","19114","CITY OF PHILADELPHIA","2156837930","031000","","","","","N","","","","","","N","","2","","11"
2011023174,"99","9","2001 N. CLINE AVE.","","GRIFFITH","IN","99999","BULKAMATIC TRANSPORT CO. INC.","9999999999","","","","","","N","","","","","","N","","2","","08"
2011023213,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PE","19107","SEPTA","9999999999","","","","","","N","","","","","","N","","1","","11"
2011029647,"99","8","440 N. BROAD ST.","","PHILADELPHIA","PA","19130","PHILA SCHOOL DISTRICT","9999999999","","","","","","N","","","","","","N","","1","","11"
2011029647,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","N","","2","","11"
2011031337,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","N","","1","","11"
2011031629,"99","1","4200 GOVERNOR PRINTZ BL","","WILMINGTON","DE","99999","GARDA ATLANTIC INC","9999999999","","","","","","N","","","","","","N","","1","","09"
2011033507,"99","8","707 GRANT ST","","PITTSBURGH","PA","15219","BRIGHTSIDE ACADEMY INC","9999999999","999999","","","","","N","","","","","","U","","1","","11"
2011033534,"99","8","1234 MARKET STREET","14TH FLOOR","PHILADELPHIA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","U","","1","","11"
2011035510,"05","2","142 MCHENRY RD","","PARKESBURG","PA","19365","ANTHONY L MAST INC","6109989870","080000","3","","","","Y","1","","","","","N","","2","00248932","08"
2011037884,"99","4","74 RIDGE RD","","TYLERSPORT","PA","18971","INDIANVALLEYBULKCARRIERS","2152575151","073280","","","","","N","","","","","0MC103721","N","","1","00113450","99"
2011037911,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","N","","1","","11"
2011043797,"03","4","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","999999","","","","","N","","","","","999999999","U","9999999999","2","99999999","99"
2011044562,"99","9","7005 BENNELL DR","","UNKNOWN","OH","99999","MATTU MOLEY","9999999999","","","","","","N","","","","","","N","","1","","08"
2011044945,"02","1","4100 FRANKFORD AVE","","PHILADELPHIA","PA","19124","DOMESTIC UNIFORM RENTALS","2673209021","011000","","","","","N","","","","","","N","","1","00182328","03"
2011053013,"05","3","2249 MANOR AVE","","UPPER DARBY","PA","19082","DELAWARE VALLEY STEEL","6104496100","035000","","","","","N","","","","","","N","","2","00005352","06"
2011053530,"99","8","3001 ORTHODOX ST","","PHILADELPHIA","PA","99999","YELLOWBIRD BUS CO","9999999999","","","","","","N","","","","","","N","","1","","11"
2011056789,"99","8","1234 MARKET ST 4TH FL","","PHILADELPHIA","PA","19107","SEPTA","6109310226","","","","","","N","","","","","","U","","1","","11"
2011056824,"02","8","703 FERRY ST","","NEWARK","NJ","07105","NEW JERSEY TRANSIT CORPORATION","8564012305","044660","","","","","N","","","","","","N","","2","00074293","11"
