"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR"
"2019027210","2","0","IN","7","P392648","2019"
"2019032433","1","0","ZZ","7","999999999999","9999"
"2019040681","1","0","ME","7","2827472","2018"
"2019054445","1","0","IN","7","P762369","2019"
"2019055726","1","0","PA","6","PT7305Z","2016"
"2019060962","1","0","IL","6","600097ST","2020"
"2019061170","1","0","ME","7","38TRL28929","2019"
"2019067415","2","0","ME","7","2365256","2016"
"2019067814","3","0","ME","7","203181D","2000"
"2019078039","1","0","","2","",""
"2019078604","2","0","KY","7","54092T","2020"
"2019079054","1","0","","8","",""
"2019082837","2","0","NJ","6","TTT79D","2019"
"2019091731","1","0","IN","7","P31513","2020"
"2019099010","2","0","NJ","7","TTM57G","2019"
"2019103716","1","0","ZZ","7","999999999999","9999"
"2019110077","4","0","MO","7","46A656","2020"
"2019119392","2","0","IL","7","633410ST","2017"
"2019129878","2","0","TN","7","U703224","2020"
"2019133188","1","0","VA","7","613016TL","2099"
"2019021652","2","0","PA","7","XDW0364","2019"
"2020011894","2","0","NJ","7","T23L3T","2019"
"2019029414","1","0","","9","",""
"2019038296","1","0","ME","7","3311784","2019"
"2019043390","2","0","NJ","7","TUD33U","2018"
"2019048830","1","0","ZZ","7","99999999","9999"
"2019049211","2","0","ZZ","7","999999999999","9999"
"2019054918","1","0","","2","",""
"2019063021","2","0","PA","8","KWD4370","2014"
"2019089616","1","0","VA","7","942694TL","2019"
"2019098358","2","0","ZZ","7","999999999999","9999"
"2019106959","1","0","PA","7","PT9278Z","2020"
"2019111183","1","0","ME","7","217864D","2021"
"2019121337","1","0","ZZ","7","999999999999","2019"
"2019002755","1","0","ZZ","7","9999999999","9999"
"2019015754","2","0","TN","7","U795422","2019"
"2019021560","2","0","ZZ","7","9999999999","9999"
"2019023860","2","0","OR","6","HV43616","2019"
"2019030728","1","0","NE","7","265796","2019"
"2019036289","1","0","ZZ","7","999999999999","9999"
"2019055842","2","0","IL","7","T508753","2002"
"2019065228","2","0","ZZ","7","UNKNOWN","2020"
"2019070467","1","0","TX","1","093C678","2018"
"2019073738","4","0","GA","3","TL8NK86","2020"
"2019074913","1","0","","2","",""
"2019096995","1","0","ME","7","2364337","2020"
"2019121418","2","0","MA","7","BHYXNQ","2020"
"2019123111","1","0","ZZ","7","999999999999","9999"
"2019123117","3","0","ME","7","3621265","2022"
"2020001199","2","0","PA","7","KLV7709","2020"
"2020007575","1","0","NJ","7","TKE84S","2019"
"2019028358","1","0","OK","7","3809KP","2020"
"2019031980","1","0","ZZ","3","999999999999","2019"
"2019037655","1","0","MO","7","8953PH","2019"
"2019045382","2","0","PA","7","PT106F1","2018"
"2019055339","2","0","ZZ","7","9999999999","9999"
"2019063054","1","0","ME","7","222118","2019"
"2019098478","2","0","ZZ","7","999999999999","9999"
"2019112373","2","0","ZZ","7","999999999999","9999"
"2019112451","1","0","FL","6","IE05NZ","2020"
"2019121301","1","0","IL","7","609553ST","2019"
"2019014326","1","0","TN","7","U488304","2019"
"2020011563","1","0","ZZ","7","999999999999","9999"
"2019032625","1","0","","3","",""
"2019035570","2","0","IN","7","P770024","2020"
"2019036272","1","0","NJ","8","TTZ78U","2019"
"2019047700","3","0","","1","",""
"2019050868","1","0","ZZ","7","999999999999","9999"
"2019060951","1","0","ZZ","7","999999999999","9999"
"2019071774","1","0","PA","7","PT617A9","2014"
"2019077484","2","0","NJ","7","TAZ56S","2019"
"2019078039","2","0","","2","",""
"2019082833","2","0","PA","7","XKR1629","2022"
"2019088520","2","0","","9","",""
"2019094171","2","0","PA","3","KJS4706","2019"
"2019095911","1","0","ZZ","7","999999999999","9999"
"2019105738","3","0","OK","7","1408KP","2017"
"2019107419","1","0","ME","7","22TLR1807A","2022"
"2019112364","2","0","OK","7","3942LR","2020"
"2019121373","1","0","OH","7","TRH3779","2020"
"2019121451","2","0","PA","6","PT1850V","2020"
"2019031930","1","0","OK","6","5793GL","2019"
"2019036543","1","0","PA","7","PT9629K","2019"
"2019036591","2","0","ZZ","7","999999999999","9999"
"2019040529","2","0","ZZ","7","99999999999","9999"
"2019041727","3","0","IL","7","622986ST","2017"
"2019045461","2","0","PA","8","000000","2019"
"2019068010","1","0","PA","7","UNKNOWN","2000"
"2019071312","2","0","PA","8","KTJ6652","2019"
"2019074690","1","0","PA","7","PT0877X","2020"
"2019075350","2","0","TN","6","T898647","2019"
"2019087904","1","0","NJ","3","TMD38Z","2019"
"2019088520","1","0","","9","",""
"2019090732","2","0","IN","6","396053","2019"
"2019093381","2","0","PA","6","368189Z","2020"
"2019101501","3","0","PA","7","PT8988X","2015"
"2019106873","1","0","PA","7","999999999999","2015"
"2019115102","2","0","PA","3","XKZ7532","2019"
"2019121284","1","0","PA","7","PT4151Z","2017"
"2019121374","1","0","TX","7","Y48933","2020"
"2020033345","1","0","PA","3","XLH4807","2014"
"2019022728","2","0","PA","7","PT8408Z","2019"
"2019024575","1","0","ME","6","3615321","2019"
"2019026947","2","0","PA","7","PT142E0","1999"
"2019036272","2","0","ME","8","2367953","2019"
"2019041727","1","0","ZZ","7","999999999999","9999"
"2019041727","2","0","ZZ","7","999999999999","9999"
"2019044180","2","0","","2","",""
"2019047849","2","0","ME","7","2455434","2019"
"2019056314","2","0","OK","6","2123IA","2019"
"2019074234","2","0","WI","7","999999999999","2020"
"2019074429","1","0","NC","7","AY11871","2002"
"2019079054","2","0","","8","",""
"2019080220","2","0","","7","",""
"2019094350","2","0","PA","7","PT9635K","2019"
"2019111645","1","0","PA","7","PT241H4","2019"
"2019126306","1","0","ME","7","2165781","2021"
"2019131274","1","0","NJ","7","TNN22L","2003"
"2019131464","1","0","ME","7","301668","2023"
"2019004373","2","0","ZZ","7","999999999999","9999"
"2020001352","2","0","PA","7","XDS1693","2020"
"2020008483","2","0","ZZ","7","999999999999","9999"
"2019024585","1","0","ZZ","7","999999999999","9999"
"2019027629","2","0","NY","3","BP14718","2017"
"2019038239","2","0","ZZ","7","999999999999","9999"
"2019041824","2","0","PA","3","XGC2093","2020"
"2019042830","2","0","NJ","7","TBN34P","2019"
"2019052168","1","0","PA","3","XLG5335","2000"
"2019053208","1","0","ME","7","2385973","2023"
"2019053574","1","0","ME","7","3020569","2030"
"2019054905","1","0","ZZ","7","999999999999","9999"
"2019056802","2","0","QC","7","RH4912H","2019"
"2019065679","2","0","ON","7","M9478V","2020"
"2019069618","1","0","IL","7","565440ST","2016"
"2019074119","1","0","ZG","7","8738927","2019"
"2019085464","2","0","NJ","6","AR613E","2019"
"2019088504","2","0","","3","",""
"2019089960","2","0","PA","7","PT526B8","2099"
"2019089998","2","0","MO","7","U595313","2016"
"2019110177","1","0","PA","7","PT252H5","2020"
"2019038099","3","0","IN","7","P590558","2019"
"2019038648","3","0","ZZ","7","999999999999","9999"
"2019041266","2","0","PA","7","PT176C9","2020"
"2019048802","2","0","PA","7","PT9300L","2099"
"2019049373","2","0","","6","",""
"2019049374","1","0","","8","",""
"2019069822","1","0","PA","3","XLY4613","2001"
"2019070066","2","0","PA","8","XGC2093","2019"
"2019081395","1","0","IN","6","P252540","2019"
"2019084176","4","0","PA","3","XS35997","2020"
"2019084670","1","0","ME","7","23TRL2589E","2019"
"2019085461","1","0","NJ","6","TKX83E","2020"
"2019088051","2","0","PA","8","XJX9223","2012"
"2019098748","2","0","MO","7","4928PE","2019"
"2019112334","2","0","PA","3","XJL3301","2019"
"2019120653","1","0","IN","7","P557521","2018"
"2019126424","2","0","ZZ","7","999999999999","9999"
"2019133900","1","0","ZZ","7","999999999999","9999"
"2019134028","2","0","PA","8","XKT1039","2019"
