"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR"
"2019006003","2","0","ZZ","7","9999999999","9999"
"2020019418","1","0","ZZ","7","999999999999","9999"
"2019017653","2","0","TN","7","U794300","2020"
"2019018969","1","0","FL","7","TVA17F","2022"
"2019021652","3","0","IL","7","672699ST","2019"
"2019036543","2","0","NJ","7","TVN57B","2019"
"2019038083","1","0","ME","6","2835876","2019"
"2019043339","2","0","MS","7","374","2019"
"2019043878","1","0","ME","7","2824311","2016"
"2019049311","1","0","ZZ","7","999999999999","9999"
"2019062170","1","0","NJ","7","TRS42S","2017"
"2019070113","1","0","ME","7","2565609","2020"
"2019080229","1","0","","2","",""
"2019085786","3","0","OA","7","PT31627","2020"
"2019093331","1","0","MD","8","356573G","2020"
"2019098352","1","0","ZZ","7","999999999999","9999"
"2019121397","1","0","ZZ","7","999999999999","9999"
"2019133008","1","0","ZZ","7","999999999999","9999"
"2019008992","2","0","IL","7","662379ST","2003"
"2019013776","3","0","NY","7","BR75774","2019"
"2019018512","1","0","","8","",""
"2019021020","3","0","ME","7","2148306","2019"
"2020009287","2","0","ZZ","7","999999999999","9999"
"2019041508","2","0","IN","3","P507853","2019"
"2019041681","2","0","ME","7","2352718","2023"
"2019047046","3","0","ME","7","B746674","2013"
"2019050848","2","0","","1","",""
"2019055457","1","0","ZZ","7","999999999999","9999"
"2019055735","1","0","PA","7","PT424G9","2015"
"2019057109","3","0","PA","7","PT93806","2019"
"2019061161","2","0","IL","7","678047","2019"
"2019063552","2","0","IN","7","P762263","2019"
"2019073272","2","0","IL","7","615280ST","2017"
"2019074913","2","0","","2","",""
"2019075872","1","0","PA","1","OOO-OOO","2019"
"2019084433","1","0","PA","7","PT5939T","2019"
"2019084499","2","0","NE","7","10353W","2006"
"2019121434","1","0","ZZ","7","999999999999","9999"
"2019129883","1","0","GA","7","WIII319","2019"
"2019135156","1","0","NJ","7","TCC69Y","2019"
"2019135182","2","0","IN","7","P921127","2020"
"2019003598","1","0","ME","7","2060378","2015"
"2019008796","1","0","PA","7","XLB1268","2019"
"2019011219","2","0","PA","3","XFZ3811","2011"
"2020010189","2","0","ZZ","7","999999999999","9999"
"2020012041","4","0","NJ","7","TEH59J","2020"
"2020018888","1","0","OK","7","6111JY","2020"
"2019023195","1","0","PA","7","PT116D0","2019"
"2019029393","1","0","","9","",""
"2019045256","2","0","IN","7","2824488","2019"
"2019060674","1","0","IL","7","642263ST","2019"
"2019066580","1","0","ME","7","2495264","2022"
"2019074462","2","0","ME","1","5CT7242","2024"
"2019085496","3","0","NJ","7","TEH40J","2006"
"2019088832","5","0","NJ","7","29LT","2019"
"2019095994","1","0","PA","2","ZKA8580","2018"
"2019102065","1","0","ME","7","TLR 21-74044","2000"
"2019103321","1","0","ME","7","2651137","2022"
"2019109247","1","0","NE","7","13295W","2015"
"2019116362","1","0","TN","7","U037040","2099"
"2019128076","1","0","CA","7","4LJ6803","2020"
"2019133578","2","0","ZZ","7","999999999999","9999"
