"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2008027205,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","","","1","99999999","11"
2008047650,"99","8","15110 N DALLAS PKWY","","DALLAS","TX","75248","GREYHOUND","2152853212","","","","","","N","","","","","","","","3","","11"
2008047661,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","","","2","","11"
2008048167,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","","","2","","11"
2008049358,"05","3","1 PGT WAY","","MONACA","PA","15061","PGT TRUCKING","4102848970","080000","","","","","N","","","","","","","","1","00192897","08"
2008049869,"99","9","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","","","","","","","","","","","","","","1","9999999","08"
2008049874,"99","8","440 N BROAD ST","","PHILADELPHIA","PA","99999","SCHOOL DISTRICT OF PHILA","9999999999","","","","","","N","","","","","","","","1","","11"
2008051732,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","","","1","","11"
2008052202,"99","8","350 N ST PAUL","","DALLAS","TX","75201","GREYHOUND LINES INC","9999999999","","","","","","N","","","","","","","","1","","11"
2008057109,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","2","","11"
2008061018,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","N","","1","","11"
2008063251,"99","8","1234 MARKET ST","","PHILADELPHIA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","1","","10"
2008066369,"99","1","425 SCHOOL HOUSE RD","","TELFORD","PA","18969","CLEMMER MOVING AND STORAGE","9999999999","030000","","","","","N","","","","","","U","","1","","99"
2008069345,"99","1","9025 RIVER RD","SUITE 3001","INDIANAPOLIS","IN","99999","NEWBORN TRANSS CORP","9999999999","","","","","","N","","","","","","","","2","","06"
2008070685,"99","8","2500 WHEATSHEAF LN.","","PHILADELPHIA","PA","19137","DURHAM SCHOOL SERVICE","9999999999","","","","","","N","","","","","","N","","2","","11"
2008070750,"99","8","1234 MARKET STREET","14TH FLOOR","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","U","","1","","11"
2008075764,"99","1","1401 HADDONFIELD BERLIN","","CHERRY HILL","NJ","08034","RYDER TRUCK RENTAL LT","2154924995","080000","","","","","N","","","","","","N","","1","","08"
2008075994,"04","1","5250 OLD MAUMEE RD","","FT WAYNE","IN","46803","PENSKE TRUCK LEASING","4843436443","080000","","","","","N","","","","","","N","","1","","07"
2008077691,"03","4","351 NEW BROOKLYN RD","","BERLIN","NJ","08009","CAPONE TRANSPORTATION","6096857082","","","","","","N","","","","","","N","","1","00789268","04"
2008082185,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","N","","1","","11"
2008085098,"05","1","3960 LOGISTICS WAY","","ANTIOCH","TN","37013","FEDEX FREIGHT EAST","8004478140","080000","","","","","N","","","","","","N","","2","00239039","08"
2008087869,"99","8","1019 E 9TH ST","","CHESTER","PA","19013","DELAWARE COUNTY TRANSPORTATION","9999999999","999999","","","","","N","","","","","","N","","1","","11"
2008087869,"99","8","300 E WYOMING AVE","","PHILADELPHIA","PA","19120","SEPTA","9999999999","999999","","","","","N","","","","","","N","","2","","11"
2008089213,"99","9","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","999999","","","","","N","","","","","","U","","2","","08"
2008095707,"99","9","KIMBALL LN","","LYNFIELD","MA","01940","ROSENBURG DARIES HP HOOD LLC","9999999999","033000","","","","","N","","","","","","N","","1","","05"
2008098377,"99","9","2702 ROUTE 9","","RIO GRANDE","NJ","08242","RIO AUTO BODY SHOP","9999999999","","","","","","N","","","","","","N","","1","","99"
2008100548,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","N","","1","","11"
2008100891,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","N","","1","","11"
2008100896,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","N","","2","","11"
2008100993,"02","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","2158634427","","","","","","N","","","","","","N","","2","","11"
2008102182,"05","2","CEDAR SWAMP ROAD","","BRIDGEPORT","NJ","08014","QUALITY CARRIERS","8564671111","080000","8","","","","Y","1","","","","","N","","2","00076600","08"
2008103107,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","N","","1","","11"
2008108646,"99","8","UNKNOWN","","PHILADELPHIA","PA","99999","SEPTA","9999999999","","","","","","N","","","","","","N","","1","","11"
2008119884,"99","9","6700 CORNELIUS ST","","PHILADELPHIA","PA","19138","MARK A PRESSLEY","9999999999","025500","","","","","","","","","","","U","","2","","99"
2008120811,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","N","","1","","11"
2008120896,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","N","","1","","11"
2008133165,"99","9","1704 MARINE HWY","","HAINESPORT","NJ","08036","ROBERT WINGINGE","9999999999","","","","","","N","","","","","","N","","1","","99"
2008133552,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","N","","1","","11"
2009002129,"05","3","595 E PUMPING STATION R","","QUAKERTOWN","PA","18951","ROBERT GANTER CONTRACTORS INC","2155383540","080000","","","","","N","","","","","","N","","1","01337688","08"
2009012649,"99","9","7421 GLENMORE AVE","","PHILADELPHIA","PA","99999","OIL PATCH CORP","9999999999","033000","","","","","N","","","","","","N","","1","","99"
2009012649,"99","8","1234 MARKE ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","099999","","","","","N","","","","","","N","","2","","11"
2009012657,"99","8","1234 MARKE ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","N","","1","","11"
2009012657,"99","9","7353 MILNOR ST","P.O. BOX 65311","PHILADELPHIA","PA","19155","PLANET EARTH RECYCLING","9999999999","","","","","","N","","","","","","N","","2","","99"
2009030776,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","2155807800","","","","","","N","","","","","","N","","2","","11"
