"CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ROUTE","SEGMENT","OFFSET","RDWY_ORIENT","LANE_COUNT","SPEED_LIMIT","STREET_NAME","ROAD_OWNER","ACCESS_CTRL","RDWY_COUNTY"
"2008062520","4","3","","","","E","02","30","KNORR ST","4","","67"
"2008062024","3","3","0095","0214","1658","N","03","55","DELAWARE EX","1","1","67"
"2008062127","3","3","3019","0091","0","W","99","","PASSYUNK AV","2","3","67"
"2008069073","3","3","0095","0314","1485","N","3","55","DELAWARE EX","1","1","67"
"2008064324","3","3","0076","3421","358","W","03","50","SCHUYLKILL EX","1","1","67"
"2008081285","3","3","8009","0020","2995","W","1","","RAMP RD","2","1","67"
"2008064926","3","3","0076","3395","1765","W","04","50","SCHUYLKILL EX","1","1","67"
"2008064499","3","3","0095","0171","633","S","3","55","DELAWARE EX","1","1","67"
"2008085217","4","4","","","","E","01","25","COLUMBIA AV","4","","67"
"2008085220","3","3","1004","0030","1927","E","2","","ERIE AV","2","3","67"
"2008066905","3","3","0095","0131","535","S","3","55","DELAWARE EX","1","1","67"
"2008069267","3","4","","","","W","01","25","PARRISH ST","4","","67"
"2008069280","5","5","3039","0011","1155","S","1","","SCHUYLKILL AV","2","3","67"
"2008069283","3","3","4013","0050","2471","N","2","25","LINCOLN DR","2","3","67"
"2008069289","3","3","","","","E","02","25","MANHEIM ST","4","","67"
"2008069295","4","3","","","","N","02","25","MORTON ST","4","","67"
"2008069299","7","7","1011","0060","0","E","2","35","WELSH RD","2","3","67"
"2008069301","3","3","2016","0071","333","W","1","","ALLEGHENY AV","2","","67"
"2008069307","3","4","","","","N","99","","CARLISLE ST","4","","67"
"2008069313","4","3","","","","N","02","20","KNOX ST","4","","67"
"2008069316","3","3","0013","0200","563","N","2","25","ROBBINS ST","2","3","67"
"2008067361","3","3","0095","0320","1722","N","3","55","DELAWARE EX","1","1","67"
"2008068022","3","3","0076","3455","2557","W","2","50","SCHUYLKILL EX","1","1","67"
