"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","51","N","2020027637","2","1","","1","07","Y","FORD","2016","01","1","","1","00","S","005","","","2","01","03","01","03","NJ","2","04","1FTEW1EP5GF","TCW"
"","15","N","2020022580","3","1","","1","12","Y","FORD","2010","01","1","","1","00","S","045","","","1","01","05","01","01","PA","1","06","1FMEU7DE8AU","T4W"
"","51","N","2020022559","1","1","","1","12","Y","FORD","2006","01","1","","1","00","W","000","","","3","01","05","03","06","PA","2","04","1FTPX14576N","T4C"
"","","N","2020021959","9","4","","1","09","U","OTHR","","99","0","","1","00","W","020","0","","1","05","99","01","06","","1","99","",""
"","04","N","2020023597","3","1","","1","11","Y","HOND","2004","02","1","","4","00","N","055","","","1","01","01","16","06","PA","1","01","1HGCM66534A","P4D"
"","","N","2020022300","9","4","","1","01","N","UNKN","","99","0","","1","00","S","015","0","","1","05","99","01","09","ZZ","1","99","",""
"","69","Y","2020013659","1","1","","2","02","Y","MACK","2019","02","1","","4","00","W","025","0","","2","01","04","16","06","PA","2","05","1M2GR4GC9KM","T"
"","79","N","2020022549","9","4","","1","05","N","","","99","1","","1","00","W","035","","","1","05","99","18","03","ZZ","1","05","",""
"","04","N","2020027955","1","1","","1","08","Y","HYUN","2013","01","2","","1","00","N","035","","","1","01","01","15","06","PA","1","01","5NPEC4AB0DH","P4D"
"","04","N","2020022361","3","1","","1","01","Y","CHEV","2014","01","1","","1","00","S","050","","","1","01","05","15","01","PA","1","01","1G1PC5SB2E7","P4D"
"","51","Y","2020027685","3","1","","1","03","Y","FRHT","2016","02","1","","1","00","N","040","","","1","01","03","01","03","NJ","1","05","3ALACWDT2GD","TCC"
