"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR"
"2020035014","1","0","PA","2","ZNY3794","2020"
"2020040493","1","0","MX","7","2470617","2023"
"2020041690","1","0","PA","7","PT6100V","2020"
"2020050079","1","0","NJ","7","TNH41B","2020"
"2020050507","2","0","OR","7","HU99967","2016"
"2020057749","2","0","IN","7","P854725","2021"
"2020058077","2","0","PA","7","PT0576T","2012"
"2020058961","1","0","VA","7","842938TL","2008"
"2020060632","1","0","ME","7","441504Z","2020"
"2020068439","2","0","PA","7","N/A","2020"
"2020069893","1","0","TN","7","U199504",""
"2020083791","1","0","TN","7","U960145","2018"
"2020109371","2","0","ME","7","2444196","2021"
"2020012435","2","0","ZZ","7","999999999999","9999"
"2020024410","2","0","PA","7","XKE2189","2020"
"2020031188","2","0","IN","7","P794401","2023"
"2020031281","2","0","ZZ","7","999999999999","9999"
"2020036586","1","0","TN","7","731385","2020"
"2020039828","1","0","FL","7","9177CJ","2012"
"2020047380","1","0","PA","7","1724STP","2021"
"2020048413","2","0","ZZ","7","999999999999","9999"
"2020052213","2","0","ZZ","7","999999999999","9999"
"2020055592","1","0","IL","7","T523853","2018"
"2020059121","2","0","PA","7","PT7866R","2020"
"2020059467","2","0","TN","7","U787695","2020"
"2020072490","1","0","IN","7","P999916","2020"
"2020087339","1","0","ON","7","J4710T","2020"
"2020087792","2","0","PA","6","XJW9512","2020"
"2020092330","4","0","DE","6","XP820949","2020"
"2020092387","1","0","PA","1","999999999999","1984"
"2020101208","2","0","PA","7","PT819D2","2021"
"2021009271","1","0","NJ","3","TUT709","2021"
"2021008153","2","0","PA","8","XCG7493","2020"
"2020014570","1","0","ME","7","2211970","2000"
"2020016407","2","0","MI","7","D175489","2020"
"2020024123","1","0","IN","7","P645489","2020"
"2020024963","2","0","PA","7","PT800D8","2018"
"2020025493","2","0","TN","7","U785539","2020"
"2020036882","2","0","PA","6","PT265BO","2020"
"2020046706","1","0","NC","7","AF80339","2021"
"2020057211","2","0","IN","7","SP609RAK","2020"
"2020059206","1","0","PA","7","PT460B7","2021"
"2020059485","2","0","PA","7","PT639G7","2020"
"2020075167","2","0","DE","7","T6214","2020"
"2020076652","1","0","ON","7","S20-72A","2012"
"2020091635","2","0","ME","7","27-6142D","2000"
"2020101882","2","0","NE","7","15210W","2020"
"2020103603","2","0","NC","7","T718590","2018"
"2020019709","2","0","VA","7","970376TL","2020"
"2020030029","2","0","LA","7","L333634","2020"
"2020032321","1","0","SC","7","P764821","2020"
"2020051730","3","0","ZZ","7","999999999999","9999"
"2020052084","2","0","IN","7","P451567","2021"
"2020079601","1","0","TN","7","T684366","2099"
