"CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ROUTE","SEGMENT","OFFSET","RDWY_ORIENT","LANE_COUNT","SPEED_LIMIT","STREET_NAME","ROAD_OWNER","ACCESS_CTRL","RDWY_COUNTY"
"2006066179","3","3","","","0","N","99","","PASSYUNK AV","4","","67"
"2006066186","3","4","","","0","S","99","","CRAIG ST","4","","67"
"2006066190","4","3","","","","N","99","","PROCTOR RD","4","","67"
"2006066199","3","3","1003","0040","515","N","02","35","WHITAKER AV","2","3","67"
"2006068228","3","3","0003","0080","1297","E","03","35","CHESTNUT ST","2","3","67"
"2006059491","3","3","1002","0031","939","W","02","35","CHELTENHAM AV","2","3","67"
"2006062106","3","5","","","0","E","02","35","WESTMORELAND ST","4","","67"
"2006062678","3","3","1008","0010","2352","N","03","25","LEVICK ST","2","3","67"
"2006062684","4","4","4002","0031","0","W","02","40","STENTON AV","2","3","67"
"2006062703","4","4","","","","E","02","35","CHELTEN AV","4","","67"
"2006062709","3","4","","","0","W","02","25","LINDLEY AV","4","","67"
"2006062714","3","3","0291","0061","981","W","02","40","PENROSE AV","2","3","67"
"2006062722","3","3","6001","0191","33","S","03","40","ROOSEVELT BL","2","3","67"
"2006062423","3","4","","","0","N","02","35","KENSINGTON AV","4","","67"
"2006062429","3","3","2009","0090","341","N","03","","HARBISON AV","2","3","67"
"2006062435","3","4","","","0","N","01","25","ANDERSON ST","4","","67"
"2006062438","4","6","6001","0321","0","S","03","45","ROOSEVELT BL","2","3","67"
"2006062190","4","3","","","0","S","01","35","FIFTEENTH ST","4","","67"
"2006062195","4","4","","","0","S","99","","SOLLY AV","4","","67"
"2006062201","4","3","","","0","N","99","","PHILLIP ST","4","","67"
"2006062208","3","4","","","0","N","01","","MASCHER ST","4","","67"
"2006062212","3","3","3019","0060","3400","N","02","35","PASSYUNK AV","2","3","67"
"2006062216","3","3","","","","S","02","","OLD BUSTLETON AV","4","","67"
"2006065631","3","3","","","","N","02","","UMBRIA ST","4","","67"
"2006065636","4","3","","","0","N","04","25","K ST","4","","67"
"2006065641","3","3","4002","0060","0","S","02","35","STENTON AV","2","3","67"
"2006065645","4","3","","","","W","01","25","MCKEAN ST","4","","67"
"2006065424","3","4","","","0","E","99","","PINE ST","4","","67"
"2006065429","3","3","1004","0220","0","E","02","30","TORRESDALE AV","2","3","67"
