"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","09","Y","2006026393","1","1","","1","06","Y","OTHR","1996","02","1","","1","12","N","010","0","","3","01","12","03","01","PA","2","03","1A9416082TA","P"
"","04","N","2006021285","3","3","","1","02","U","CHEV","2004","99","1","","1","00","W","999","0","","1","01","12","15","06","PA","1","01","1G1ND52F64M","P4D"
"","","N","2006021314","","","","","","","","","00","1","","","","","000","","","2","31","","","","","2","","",""
"","04","N","2006021334","1","2","","3","07","Y","CHEV","1993","","0","","1","00","E","000","0","","3","02","03","06","98","PA","2","01","2G1WN54T9P9","P4D"
"","15","N","2006033795","3","1","","1","06","Y","FORD","2003","01","3","","1","00","W","000","0","","2","01","12","03","03","PA","2","06","1FMCU94193K","PUT"
"","04","N","2006037678","3","1","","1","99","Y","DODG","2002","01","2","","1","00","W","999","0","","1","01","05","01","06","PA","1","01","2B3HD46R12H","P4D"
"","04","N","2006037561","2","1","","1","01","Y","CHEV","1992","01","1","","1","00","E","999","0","","1","01","05","01","03","PA","1","01","1G1BL53E6NR","P4D"
"","03","N","2006033629","2","1","","1","11","Y","FORD","1989","01","2","","1","00","N","999","","","2","01","07","01","01","PA","2","01","1ZVBT20C6K5","P2H"
"","03","N","2006021350","3","1","","1","12","Y","FORD","1993","02","2","","1","00","N","999","0","","1","01","03","01","01","PA","1","01","1FACP41M4PF","P2H"
"","15","N","2006021367","3","1","","1","09","U","FORD","2002","02","3","","1","00","W","999","0","","2","01","12","12","01","PA","3","06","1FMZU72E62U","PUT"
"","09","Y","2006034810","0","1","","1","99","Y","OTHR","2005","08","2","","1","12","N","999","0","","2","01","03","99","99","PA","2","03","5FYD4FV105B","P"
"","04","N","2006036139","3","1","","1","12","U","BMW","1993","01","1","","1","00","W","999","0","","1","01","02","99","99","PA","1","01","WBACB4319PF","P4D"
"","12","N","2006020417","3","1","","1","02","Y","CHRY","2002","02","1","","1","00","N","999","0","","1","01","07","15","06","PA","1","01","2C4GP44342R","PSV"
"","04","N","2006019842","1","1","","2","06","Y","NISS","1993","01","1","","1","00","E","999","0","","2","01","07","01","01","PA","2","01","1N4EB31F2PC","P4D"
"","","N","2006018665","9","1","","1","12","U","UNKN","9999","99","1","","1","99","W","999","0","","1","01","99","01","01","ZZ","1","06","UNK",""
"","04","N","2006018679","3","1","","1","03","Y","FORD","2001","01","1","","1","00","E","999","0","","2","01","12","01","01","PA","3","01","1FAFP53U91A","P4D"
"","04","N","2006019768","2","1","","1","11","Y","CHRY","2006","01","1","","1","00","S","999","0","","1","01","07","01","03","PA","1","01","2C3LA63H26H","P4D"
"","04","N","2006019876","1","2","","1","11","U","FORD","1992","","0","","1","00","N","000","0","","3","02","03","06","08","PA","2","01","2FACP74W2NX","P4D"
"","40","N","2006019888","1","2","","1","11","Y","FORD","1993","","0","","1","00","E","000","0","","2","02","04","06","01","PA","2","01","1FTDA34X2PZ","TVN"
"","04","N","2006019901","3","1","","2","12","Y","SUBA","1992","01","2","","3","00","S","035","0","","1","01","02","17","01","PA","1","01","JF1AC4223NC","P4D"
"","04","N","2006032851","1","1","","1","02","Y","MRCU","1997","02","1","","1","00","W","999","0","","2","01","02","10","05","PA","2","01","1MELM13P3VW","P4D"
"","04","N","2006032857","3","4","","1","01","U","LINC","1990","99","1","","1","00","U","999","0","","1","05","03","99","99","PA","1","01","1LNCM82FXLY","P4D"
"","09","N","2006032870","2","3","","1","12","Y","TOYT","2000","99","1","","1","00","W","999","0","","1","01","04","01","06","NY","1","01","JTZBG22K5Y0","P"
"","","N","2006032848","","","","","","","","","","1","","","","","000","","","2","31","","","","","2","","",""
"","15","N","2006032884","3","1","","1","11","U","FORD","2002","01","1","","1","00","S","999","0","","2","01","05","12","00","PA","2","01","1FMDU73E22Z","PUT"
"","","N","2006032952","","","","","","","","","00","1","","","","","000","","","2","31","","","","","2","","",""
"","","N","2006032982","","","","","","","","","","1","","","","","000","","","2","31","","","","","2","","",""
"","50","N","2006034190","3","1","","1","09","Y","FORD","2004","02","1","","3","00","S","025","0","","2","01","01","17","06","PA","2","04","1FDWF37S24E","TCB"
"","50","N","2006034198","3","1","","1","12","Y","OTHR","2004","02","1","","1","00","E","999","0","","1","01","05","01","01","PA","1","04","1HTMMAAL24H","TCC"
"","02","N","2006034205","2","1","","1","08","N","HOND","1997","01","5","","1","00","E","999","","","1","01","07","98","07","NJ","1","01","1HGEJ6228VL","PCP"
