"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","12","N","2012032743","1","1","","1","12","U","FORD","2004","01","1","","1","00","S","999","0","","1","01","03","01","06","PA","1","07","2FMDA52264B","PSV"
"","04","N","2013114965","3","1","","1","06","Y","VOLK","2009","02","1","","1","00","W","000","0","","2","01","12","03","03","PA","2","01","WVWJK73C79P","P4D"
"","15","N","2013121393","2","2","","1","12","U","GMC","2002","","0","","1","00","","000","","","2","02","04","06","01","PA","2","04","1GKEK63U52J","T4W"
"","51","N","2013121400","9","4","","1","09","U","TOYT","1990","","1","","1","00","E","999","","","2","05","12","02","13","PA","2","04","JT4VN01D8L2","TPK"
"","15","N","2013121412","3","1","","1","12","Y","HOND","2005","01","1","","1","00","N","999","","","1","01","04","01","06","PA","1","01","5J6YH28305L","PUT"
"","51","Y","2013114978","1","1","","1","06","Y","MACK","2000","02","1","","1","00","S","000","0","","3","01","03","03","01","PA","2","05","1M2P267C9YM","TCC"
"","15","N","2013106395","1","1","","1","12","Y","OTHR","2007","02","1","","1","00","N","025","0","","1","01","05","01","03","NJ","1","06","5GTDN13E278","T4W"
"","","N","2013121440","","","","","","","","","","1","","","","","","","","2","31","","","","","2","","",""
"","","N","2013106276","","","","","","","","","","1","","","","","","","","2","31","","","","","2","","",""
"","04","N","2013121333","9","1","","1","01","Y","OLDS","2000","99","1","","1","00","N","999","","","1","01","12","01","98","ZZ","1","01","99999999999","P4D"
"","02","N","2013121351","1","1","","1","07","Y","CHEV","2005","01","1","","4","00","N","999","0","","2","01","07","16","02","PA","2","01","1G1JC12F157","PCP"
"","","N","2013121455","","","","","","","","","","1","","","","","","","","2","31","","","","","2","","",""
"","04","N","2013121463","2","1","","1","09","Y","DODG","2009","01","1","","1","00","S","999","0","","2","01","01","13","06","PA","2","01","1B3HB48A39D","P4D"
"","04","N","2013121478","3","2","","1","08","Y","OLDS","1999","","0","","1","99","E","000","","","2","02","01","06","01","NJ","2","01","1G3NB52J0X6","P4D"
"","04","N","2013121356","0","1","","1","02","Y","STRN","2001","01","3","","1","00","S","015","0","","1","01","09","12","98","PA","1","01","1G8JU52F91Y","P4D"
"","02","N","2013121375","3","1","","1","02","Y","LEXS","1992","02","2","","1","00","S","999","","","2","01","05","04","05","PA","2","01","JT8JZ31C4N0","PCP"
"","09","N","2013123546","3","2","","1","05","Y","FORD","2000","","0","","1","00","W","000","","","2","02","02","06","13","PA","2","01","99999999999",""
"","04","N","2013072209","3","1","","1","03","Y","DODG","1999","02","1","","1","00","E","999","0","","2","01","08","01","01","PA","2","01","1B3EJ56H6XN","P4D"
"","04","N","2013070922","9","1","","1","99","U","TOYT","2001","02","1","","1","00","N","999","0","","1","01","12","99","99","PA","1","01","4T1BG22K91U","P4D"
"","04","N","2013070934","3","1","","1","12","Y","FORD","2006","98","1","","1","13","E","999","0","","1","01","03","01","13","PA","1","01","2FAHP71W56X","P4D"
"","","","2013070970","","","","","","","","","","1","","","","","","","","2","31","","","","","2","","",""
"","04","N","2013070975","3","1","","1","99","Y","HOND","2008","01","1","","1","00","E","999","0","","2","01","05","01","01","PA","3","01","1HGCP26888A","P4D"
"","12","N","2013070993","2","1","","1","09","Y","CHEV","2003","02","3","","1","00","W","999","0","","2","01","01","01","01","PA","2","07","1GNDU03E63D","PSV"
"","02","N","2013072341","3","1","","1","12","Y","CHEV","2006","02","1","","1","00","W","050","0","","1","01","01","01","03","PA","1","01","1G1AK15F767","PCP"
"","15","N","2013070958","3","2","","1","01","Y","FORD","1998","","0","","1","00","S","000","","","4","02","03","06","98","PA","2","06","1FMRU18W9WL","PUT"
"","04","N","2013074709","2","1","","1","12","Y","BUIC","2008","02","2","","1","00","E","025","","","2","01","01","01","01","PA","2","01","1G4HD57288U","P4D"
"","09","N","2013074728","9","4","","1","12","U","NISS","","99","1","","1","00","E","999","0","","1","05","08","01","01","","1","01","",""
"","15","N","2013074651","3","1","","3","12","Y","FORD","2002","99","2","","1","00","N","999","","","1","01","01","98","01","PA","1","01","1FMZU73E92Z","PUT"
"","04","N","2013074668","3","2","","1","07","Y","NISS","2006","","0","","1","00","E","000","","","2","02","07","06","01","PA","3","01","3N1CB51D86L","P4D"
"","06","N","2013074691","2","1","","3","06","Y","SUBA","2001","01","3","","1","00","S","999","","","2","01","04","01","01","PA","2","01","4S3BH686217","PSW"
"","","N","2013074702","2","1","","1","03","","","","","1","","1","00","N","999","","","2","11","99","04","01","","2","20","",""
"","04","N","2013074754","3","1","","1","04","Y","DODG","2012","01","1","","1","00","E","035","0","","2","01","07","01","03","PA","2","01","2C3CDXBG6CH","P4D"
"","09","N","2013073299","9","4","","1","99","N","","","99","1","","1","99","S","999","0","","1","05","07","15","06","PA","1","01","",""
"","04","N","2013079592","3","1","","9","01","Y","CHEV","1988","01","1","","1","00","E","999","0","","1","01","12","12","04","PA","1","01","1G1AW51W7J6","P4D"
"","51","N","2013079597","3","1","","2","01","Y","DODG","2013","02","1","","1","00","S","999","","","1","01","05","01","01","NJ","1","04","1C6RR7FT8DS","TCW"
"","04","N","2013079454","3","1","","1","12","Y","MITS","2002","02","1","","1","00","E","025","","","1","01","07","01","01","PA","1","01","4A3AA46G52E","P4D"
"","04","N","2013079540","3","1","","1","11","U","BMW","2003","01","1","","1","00","S","999","0","","1","01","01","01","13","PA","1","01","WBAEU33473P","P4D"
"","12","N","2013079564","1","2","","1","01","Y","MRCU","1996","","0","","1","00","W","000","0","","9","02","09","06","11","PA","2","07","4M2DV11WXTD","PSV"
"","04","N","2013079570","1","1","","1","06","Y","CHEV","2009","01","1","","1","00","W","000","0","","2","01","12","03","01","PA","2","01","2G1WT57K291","P4D"
"","15","N","2013079436","1","1","","1","11","Y","HYUN","2007","01","1","","1","00","W","999","","","2","01","01","01","98","PA","1","06","5NMSH73E37H","PUT"
"","04","N","2013079448","3","1","","1","01","Y","TOYT","2010","01","2","","1","00","W","999","0","","2","01","03","12","01","PA","2","01","4T1BF3EK3AU","P4D"
"","04","N","2013079481","3","1","","1","11","Y","FORD","2010","01","1","","1","00","W","999","0","","1","01","03","05","01","PA","1","01","1FAHP3FN0AW","P4D"
"","02","N","2013079511","0","1","","1","12","Y","HOND","2013","02","3","","1","00","E","010","0","","1","01","07","01","13","PA","1","01","1HGCT1B77DA","PCP"
"","09","N","2013079576","9","4","","1","12","U","","","99","1","","1","00","W","999","","","1","05","05","01","13","","1","01","",""
"","04","N","2013079587","3","1","","3","01","Y","NISS","2005","01","1","","1","00","S","020","0","","2","01","07","10","01","PA","3","01","1N4AL11E05C","P4D"
"","04","N","2013083993","3","1","","1","11","Y","","2003","01","5","","1","00","U","999","","","2","01","08","01","01","PA","3","01","1G6DM57N030","P4D"
"","","N","2013084016","","","","","","","","","","1","","","","","","","","2","31","","","","","2","","",""
"","","N","2013083964","","","","","","","","","","1","","","","","","","","2","31","","","","","2","","",""
"","04","N","2013083976","3","1","","1","08","Y","NISS","2009","01","1","","1","00","N","010","0","","2","01","99","01","01","PA","2","01","1N4AL21E59N","P4D"
"","04","N","2013084028","2","1","","9","12","Y","FORD","2011","01","2","","1","00","N","999","","","2","01","07","01","01","PA","2","01","1FAHP3FN1BW","P4D"
"","04","N","2013084040","3","1","","1","01","Y","VOLV","2002","02","1","","1","00","N","999","","","2","01","07","01","01","PA","2","01","YV1RH58D822","P4D"
