"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","UNIT_NUM"
"2014001089","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2014009701","","","","","","","","","","","","","","","","","","","","N","N","N","U","2"
"2014009781","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2"
"2014009837","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014013171","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2013029751","","","","","","","","","","","","","","","","","","","","N","Y","N","N","1"
"2013029785","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013032505","U","U","Y","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2013035219","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013045093","N","Y","U","Y","Y","Y","1","Y","Y","00920","N","","","","","","","","N","","","","","1"
"2013046269","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013046327","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013053144","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013055306","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2013055530","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2013062572","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013062610","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2013065378","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2013065414","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","2"
"2013065489","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013070044","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2013070160","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013070247","U","U","U","Y","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2013074690","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2013074730","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2013077469","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2"
"2013077533","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2"
"2013079471","","","","","","","","","","","","","","","","","","","","N","U","N","U","1"
"2013079489","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2013079510","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2013079533","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2013079665","N","N","N","Y","Y","Y","1","Y","N","00600","N","","","","","","","","N","","","","","2"
"2013082161","N","N","N","Y","Y","Y","1","Y","N","00750","N","","","","","","","","N","","","","","1"
"2013084005","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2013084030","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","","","","","1"
"2013086227","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2013086660","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2013086695","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013086721","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2013086825","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2013086840","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2013088110","","","","","","","","","","","","","","","","","","","","N","N","N","N","3"
"2013093038","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2013093056","","","","","","","","","","","","","","","","","","","","N","U","N","N","2"
"2013093057","","","","","","","","","","","","","","","","","","","","N","N","N","N","1"
"2013093132","","","","","","","","","","","","","","","","","","","","N","U","N","N","2"
"2013093182","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","2"
"2013095966","","","","","","","","","","","","","","","","","","","","N","Y","N","N","2"
"2013098369","","","","","","","","","","","","","","","","","","","","N","N","N","N","1"
"2013101065","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013101102","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013101145","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013101744","","","","","","","","","","","","","","","","","","","","N","N","N","N","1"
"2013101773","U","U","U","U","N","N","0","Y","Y","99999","N","","","","","","","","N","","","","","1"
"2013104376","","","","","","","","","","","","","","","","","","","","N","U","N","N","2"
"2013114462","","","","","","","","","","","","","","","","","","","","N","N","N","N","1"
"2013115346","U","U","Y","Y","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2013121528","N","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2013125946","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2013129402","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2013005315","N","Y","Y","Y","U","Y","1","Y","Y","00600","N","","","","","","","","N","","","","","1"
"2014013098","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2014015008","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2"
"2014019135","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2013022217","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013043784","","","","","","","","","","","","","","","","","","","","N","Y","N","N","1"
"2013043824","","","","","","","","","","","","","","","","","","","","N","N","N","U","2"
"2013045608","N","U","U","Y","Y","Y","1","Y","Y","01000","N","","","","","","","","N","","","","","2"
"2013046235","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013047356","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013050258","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013053050","U","U","U","Y","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2013053542","","","","","","","","","","","","","","","","","","","","N","N","N","Y","1"
"2013055403","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2013055653","U","U","U","Y","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2013057453","N","Y","N","Y","Y","Y","2","Y","Y","01200","N","","","","","","","","N","","","","","3"
"2013065494","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2"
"2013068702","Y","Y","Y","Y","Y","Y","3","Y","N","01690","N","","","","","","","","N","","","","","1"
"2013070366","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013070393","N","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2013070453","U","U","U","N","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2013070675","U","Y","U","N","U","N","1","N","N","00600","N","","","","","","","","N","","","","","1"
"2013074659","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2013074699","N","U","Y","Y","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2013074702","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2013077523","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","","","","","1"
"2013084004","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","","","","","2"
"2013086704","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2013086961","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013088827","U","U","U","Y","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2013092648","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2013093078","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013093178","","","","","","","","","","","","","","","","","","","","N","N","N","N","1"
"2013093197","","","","","","","","","","","","","","","","","","","","N","Y","N","N","1"
"2013095970","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","2"
"2013096117","","","","","","","","","","","","","","","","","","","","N","U","N","N","2"
"2013096128","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2013098856","N","N","Y","N","Y","Y","1","Y","Y","01000","N","","","","","","","","N","","","","","1"
"2013101219","","","","","","","","","","","","","","","","","","","","N","Y","N","N","1"
"2013101262","","","","","","","","","","","","","","","","","","","","N","Y","N","N","2"
"2013101279","U","U","Y","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2013101745","","","","","","","","","","","","","","","","","","","","N","N","N","N","1"
"2013101777","N","N","Y","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","","","","","1"
"2013104412","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013105256","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2"
"2013106634","U","U","U","Y","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2013106691","U","U","Y","N","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2013106711","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013106736","","","","","","","","","","","","","","","","","","","","N","Y","N","N","2"
"2013107149","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013111874","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013112342","","","","","","","","","","","","","","","","","","","","N","N","N","N","1"
"2013115355","N","U","U","U","U","U","9","U","U","00800","Y","U","U","U","U","9","U","U","N","","","","","1"
"2013123012","N","U","N","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2013126002","","","","","","","","","","","","","","","","","","","","N","Y","N","N","2"
"2013130066","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2013006175","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013022311","N","U","Y","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2014002832","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2014022783","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2013037464","U","U","Y","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2013041295","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2013041377","","","","","","","","","","","","","","","","","","","","N","N","N","U","2"
"2013047816","U","U","Y","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2013050260","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013050326","U","U","Y","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2013055421","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2013055469","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013055912","N","N","N","N","N","N","0","N","N","99999","N","","","","","","","","N","","","","","1"
"2013062562","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2013062565","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2013062598","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013065434","U","U","U","N","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2013065519","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013070019","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2013070333","","","","","","","","","","","","","","","","","","","","N","Y","N","N","2"
"2013070474","","","","","","","","","","","","","","","","","","","","N","U","N","N","1"
"2013070526","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2013070988","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","","","","","1"
"2013074673","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2013074694","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2013074752","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2013074791","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2013075143","","","","","","","","","","","","","","","","","","","","U","U","N","Y","2"
"2013077373","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2013078986","N","N","N","N","U","U","0","N","N","00600","Y","N","N","U","U","0","N","N","N","","","","","1"
"2013079440","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013079460","N","Y","U","N","N","N","0","Y","Y","99999","N","","","","","","","","N","","","","","2"
"2013079516","","","","","","","","","","","","","","","","","","","","U","U","Y","U","2"
"2013079550","U","U","Y","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","2"
"2013080015","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013083987","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2013084806","N","Y","Y","Y","Y","Y","3","Y","N","01200","N","","","","","","","","N","","","","","2"
"2013085874","N","Y","U","Y","Y","Y","3","Y","Y","01200","N","","","","","","","","N","","","","","1"
"2013086236","U","U","U","U","U","U","9","U","U","99999","U","","","","","","","","U","","","","","1"
"2013086654","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013086815","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013088110","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013093033","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2"
"2013093188","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2"
"2013093195","Y","N","Y","Y","U","U","3","N","N","01800","N","","","","","","","","N","","","","","1"
"2013094936","N","Y","Y","Y","Y","Y","3","Y","Y","00090","N","","","","","","","","N","","","","","1"
"2013098442","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013098852","N","N","N","Y","U","Y","1","Y","N","00440","N","","","","","","","","N","","","","","1"
"2013101004","N","Y","N","N","N","N","0","Y","Y","99999","N","","","","","","","","N","","","","","2"
"2013101204","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013101258","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013101754","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2"
"2013103993","U","U","U","N","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2013106602","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013106651","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2"
"2013106741","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013108944","N","U","N","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2013109431","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2013111763","","","","","","","","","","","","","","","","","","","","N","U","N","N","2"
"2013111794","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013111864","","","","","","","","","","","","","","","","","","","","N","N","N","N","1"
"2013112781","Y","Y","Y","U","Y","Y","9","Y","Y","00101","Y","Y","U","Y","Y","9","Y","Y","N","","","","","1"
"2013114501","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2013121313","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","","","","","1"
"2013121416","U","U","U","Y","U","U","9","U","U","99999","N","","","","","","","","U","","","","","2"
"2013121437","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
