"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","04","N","2001207654","9","9","","9","11","Y","NISS","1992","01","1","","9","00","S","999","0","","1","01","99","12","00","PA","1","01","JN1HJ01F6NT","P4D"
"","","N","2001207673","","","","","","","","","00","1","","","","","000","0","","2","31","","00","","","2","","",""
"","59","N","2001208891","9","9","","9","11","Y","ISU","2000","02","1","","9","00","S","999","0","","1","01","99","10","00","PA","1","04","JALB4B147Y7","TTB"
"","04","N","2001208904","9","9","","9","01","Y","HD","1998","02","2","","1","00","E","999","0","","1","01","99","01","01","PA","1","01","JH4DB7663WS","P4D"
"","40","N","2001223793","9","9","","9","06","Y","CHEV","1995","99","1","","9","00","S","999","0","","2","01","99","03","03","PA","2","07","1GBJH32K7S3","TBU"
"","79","N","2001223809","9","9","","9","01","U","MACK","1981","99","1","","1","00","W","999","0","","1","01","99","01","01","PA","1","05","VG6M112B8BB","TFB"
"","04","N","2001223830","9","9","","9","10","Y","FORD","1988","01","1","","1","00","N","999","0","","2","01","99","01","01","PA","3","01","1FAPP2594JW","P4H"
"","02","N","2001211215","9","9","","9","10","0","DODG","1997","01","1","","4","00","E","999","0","","1","01","99","16","00","NJ","1","01","4B3AU42Y2VE","P2P"
"","40","N","2001207573","9","9","","9","12","Y","DODG","1997","02","1","","1","00","E","999","0","","1","01","99","01","01","PA","1","07","2B7HB21X8VK","TVN"
"","","N","2001207600","","","","","","","","","00","1","","","","","000","0","","2","31","","00","","","2","","",""
"","91","N","2001207603","9","9","","9","99","0","","","00","1","","1","00","E","999","0","","2","11","99","01","07","","1","21","","P"
"","40","N","2001207621","9","9","","9","06","Y","DODG","1983","01","3","","1","00","S","999","0","","2","01","99","01","03","PA","2","07","2B5WB31W1DK","PSV"
"","","N","2001207641","9","2","","9","99","U","UNKN","","","0","","","99","U","000","0","","2","02","99","06","99","ZZ","2","99","",""
"","","N","2001223772","9","2","","9","99","U","UNKN","","","0","","","99","U","000","0","","3","02","99","06","99","ZZ","2","99","",""
"","","N","2001207550","","","","","","","","","00","1","","","","","000","0","","2","31","","00","","","2","","",""
"","04","N","2001207566","9","9","","9","01","Y","MAZD","1996","01","2","","1","00","N","999","0","","2","01","99","01","01","PA","2","01","1YVGE22C0T5","P4D"
"","02","N","2001009002","0","1","","1","12","Y","MRCU","1986","02","1","","1","00","E","999","0","","1","01","09","01","01","PA","1","01","1MEBP9235GH","PCP"
"","05","N","2001007259","2","1","","1","07","Y","FORD","1993","01","3","","1","00","W","000","0","","2","01","01","03","03","PA","2","01","1FACP52U8PA","P4D"
"","41","N","2001007296","1","1","","1","99","Y","FORD","2000","01","1","","1","00","W","999","0","","1","01","03","01","01","PA","1","04","1FTNE24L8WH","TVN"
"","05","N","2001007196","3","1","","1","09","Y","NISS","1994","01","1","","1","00","N","999","0","","2","01","05","01","06","PA","2","01","1N4BU31D9RC","P4D"
"","05","N","2001007121","2","1","","1","10","Y","DODG","1996","01","1","","1","00","W","999","0","","2","01","07","01","01","PA","2","01","1B3EJ46X2TN","P4D"
"","09","N","2001007136","2","4","","1","10","U","HOND","1991","01","1","","1","00","S","999","0","","1","05","03","15","06","DE","1","01","2HGED6345MH","2H"
"","15","N","2001007168","1","1","","3","06","Y","GMC","2001","02","1","","1","00","E","000","0","","2","01","05","03","03","PA","2","01","1GKEK63U11J","TUT"
"","09","N","2001007237","1","1","","1","06","Y","CHEV","2001","01","1","","1","00","W","000","0","","3","01","12","03","04","NJ","2","01","1GNEC16T91J",""
"","15","N","2001016772","2","1","","1","06","Y","NISS","1995","01","4","","1","00","S","999","0","","2","01","05","01","01","DE","2","04","JN8HD17Y7SW","PUT"
"","04","N","2001016724","3","1","","1","99","U","BUIC","1991","02","1","","1","00","S","999","0","","2","01","03","01","01","PA","3","01","1G4CW53L5M1","P4D"
"","","N","2001016737","9","1","","1","03","","","","00","1","","1","00","E","999","0","","2","11","99","01","01","","2","20","",""
"","03","N","2001016701","2","1","","1","12","N","FORD","2000","02","1","","1","00","N","999","0","","1","01","05","01","01","PA","1","01","1ZVBT20C1K5","P2H"
"","05","N","2001018228","2","1","","1","12","Y","FORD","2000","01","1","","1","00","N","999","0","","2","01","08","01","03","PA","3","01","1FAFP53U4YA","P4D"
"","09","N","2001019659","2","1","","1","12","Y","UNKN","1993","02","2","","1","00","E","999","0","","1","01","03","10","00","NJ","1","01","1J4GZ78Y6PC",""
"","04","N","2001201180","9","9","","9","03","U","VOLV","2000","01","1","","1","00","E","999","0","","1","01","99","01","01","PA","1","01","YV1VS255XYF","P4D"
"","04","N","2001209170","9","9","","9","12","U","TOYT","2001","01","1","","1","00","W","999","0","","1","01","99","01","01","PA","1","01","2T1BR12E41C","P4D"
"","06","N","2001014318","3","1","","1","03","Y","FORD","1999","02","1","","1","00","S","999","0","","1","01","03","01","98","PA","3","01","1FAFP58U2XG","PSW"
"","05","N","2001017590","1","1","","1","11","Y","OLDS","1994","01","1","","1","00","W","030","0","","2","01","03","01","01","PA","2","01","1G3AG55M9R6","P4D"
"","99","N","2001200439","9","4","","9","12","U","","9999","99","1","","1","00","S","999","0","","1","05","99","01","01","99","1","98","","P"
"","04","N","2001215688","9","9","","9","01","Y","FORD","1998","02","1","","1","00","N","999","0","","1","01","99","01","01","PA","1","01","1FALP6539WK","P4D"
"","","N","2001215696","","","","","","","","","00","1","","","","","000","0","","2","31","","00","","","2","","",""
"","51","N","2001215716","9","4","","9","01","0","UNKN","9999","99","1","","1","00","N","999","0","","1","05","99","01","01","99","1","04","","T"
"","04","N","2001215739","9","9","","9","05","Y","FORD","1995","07","1","","9","03","E","999","0","","1","01","99","14","01","PA","1","01","2FALP71W0SX","P4D"
"","40","N","2001216864","9","9","","9","12","Y","FORD","1995","01","2","","1","00","N","999","0","","1","01","99","01","01","PA","1","07","1FMCA11U2SZ","PSV"
"","04","N","2001216876","9","9","","9","01","Y","TOYT","1994","02","1","","1","00","E","999","0","","2","01","99","01","06","PA","2","01","2T1AE09BXRC","P4D"
"","15","N","2001216890","9","9","","9","01","0","CHEV","1990","01","1","","9","00","S","999","0","","1","01","99","12","00","DE","1","06","1GNCT18Z8L8","PUT"
"","02","N","2001007362","3","1","","1","07","Y","PONT","1989","02","1","","1","00","E","999","0","","1","01","03","15","06","PA","1","01","1G2WJ14T2KF","PCP"
"","09","N","2001007418","3","1","","1","11","N","AMER","1995","01","1","","1","00","W","999","0","","1","01","05","01","01","PA","1","01","1C3EJ56H95N",""
"","04","N","2001008770","2","","","1","04","Y","PLYM","1998","","0","","1","00","N","000","0","","2","02","08","06","01","PA","2","01","3P3ES47C2WT","P4P"
"","15","N","2001007368","1","1","","1","10","Y","GMC","1998","02","1","","1","00","S","999","0","","3","01","99","03","03","PA","2","01","1GKEK13R6WJ","TUT"
"","05","N","2001007373","1","2","","1","09","Y","PLYM","1989","","0","","1","00","S","000","0","","2","02","02","06","11","PA","2","01","1P3BL18D2KY","P4H"
"","05","N","2001007390","0","1","","1","13","Y","CHEV","2000","02","4","","1","00","N","999","0","","2","01","07","08","00","PA","1","01","1Y1SL5450LZ","P4D"
"","06","N","2001008605","1","1","","1","06","U","BUIC","1986","02","2","","1","00","E","999","0","","2","01","01","01","01","PA","2","01","1G4BV35Y6GX","PSW"
"","09","N","2001014284","1","1","","1","06","Y","NISS","1993","01","1","","1","00","N","999","0","","2","01","99","01","01","DE","2","01","JN1HJ01F6PT","4D"
"","04","N","2001014291","1","1","","3","12","Y","MITS","2000","02","1","","1","00","S","999","0","","1","01","01","01","01","PA","1","01","4A3AA46G7YE","P4D"
"","","","2001016935","9","1","","1","03","","","","","1","","1","00","S","999","0","","2","11","99","98","09","","2","20","",""
"","05","N","2001016957","2","1","","1","08","Y","TOYT","2000","02","1","","1","00","E","999","0","","2","01","07","05","01","PA","2","01","2T1BR12E9YC","P4D"
"","02","N","2001201580","9","9","","9","07","U","UNKN","1987","02","1","","1","00","S","999","0","","2","01","99","01","01","PA","2","01","","P"
"","51","N","2001204504","9","9","","9","01","Y","DODG","1989","02","1","","1","00","S","999","0","","1","01","99","01","01","PA","1","04","JB7FL29E0KP","TPK"
"","15","N","2001204525","9","4","","9","10","U","CHEV","1999","99","1","","1","00","W","999","0","","1","05","99","01","00","PA","1","06","1GNCT18W5XK","PUT"
"","","N","2001204552","9","2","","9","99","U","UNKN","","","0","","","99","U","000","0","","3","02","99","06","99","ZZ","2","99","",""
"","04","N","2001204569","9","9","","9","11","0","NISS","1993","01","1","","1","00","S","999","0","","1","01","99","01","03","NJ","1","01","JN1EJ01F4PT","P4D"
"","","N","2001204591","9","2","","9","99","U","UNKN","","","0","","","99","U","000","0","","2","02","99","06","99","ZZ","2","99","",""
"","40","N","2001204654","9","9","","9","05","N","FORD","1990","01","1","","9","00","W","999","0","","1","01","99","07","07","PA","1","07","1FTEE14N5LH","TVN"
"","04","N","2001204675","9","9","","9","12","Y","CHEV","1997","01","1","","1","00","N","999","0","","1","01","99","01","01","PA","1","01","2G1WL52M2V1","P4D"
"","40","N","2001204602","9","9","","9","01","0","PLYM","1992","01","2","","1","00","N","999","0","","2","01","99","01","00","DE","2","07","1P4GH44R0NX","PSV"
"","04","N","2001204623","9","9","","9","06","Y","LEXS","1996","02","1","","1","00","N","999","0","","2","01","99","01","01","PA","3","01","JT8BF12G7T0","P4D"
"","02","N","2001204636","9","9","","9","06","Y","HOND","1988","01","2","","9","00","N","999","0","","2","01","99","99","01","PA","2","01","JHMBA4145JC","PCP"
"","02","N","2001205944","9","9","","9","12","Y","HOND","2000","01","2","","1","00","S","999","0","","1","01","99","01","00","PA","1","01","1HGEM1159YL","PCP"
"","04","N","2001205956","9","9","","9","12","Y","UNKN","2001","02","2","","1","00","S","999","0","","1","01","99","01","03","PA","1","01","","P"
"","04","N","2001205978","9","9","","9","09","N","DODG","1986","99","1","","9","00","W","999","0","","2","01","99","12","00","PA","2","01","1B3BX48E6GN","P4H"
"","04","N","2001205989","9","9","","9","12","Y","STRN","2001","03","1","","1","00","S","999","0","","1","01","99","01","03","PA","3","01","1G8JU52F91Y","P4D"
"","","N","2001206001","9","2","","9","99","U","UNKN","","","0","","","99","U","000","0","","2","02","99","06","99","ZZ","2","99","",""
"","02","N","2001206012","9","9","","9","07","0","SAA","1992","01","1","","9","00","S","999","0","","2","01","99","06","98","NJ","2","01","YS3CK48B1N1","P4D"
"","04","N","2001209299","9","9","","9","11","Y","PONT","1994","01","1","","1","00","N","999","0","","1","01","99","01","01","PA","1","01","1G2NE5538RM","P4D"
"","02","N","2001209309","9","4","","9","12","U","CHEV","1988","99","1","","1","00","E","999","0","","1","05","99","01","00","PA","1","01","1G1BL5166JR","P4D"
"","04","N","2001210637","9","9","","9","11","Y","PONT","1992","01","1","","1","00","W","999","0","","1","01","99","01","03","PA","1","01","1G2HY5218N1","P4D"
"","04","N","2001207273","9","9","","9","09","0","FORD","1991","01","1","","9","00","E","999","0","","1","01","99","10","01","NJ","2","01","2FAPP36X3MB","P4D"
"","04","N","2001211700","9","9","","9","06","Y","KIA","1997","01","1","","9","00","W","999","0","","2","01","99","03","01","PA","2","01","KNAFA1255V5","P4D"
"","04","N","2001210592","9","4","","9","11","U","OLDS","1982","99","1","","1","00","N","999","0","","1","05","99","01","01","PA","1","01","1G3AW69Y1CM","P4D"
