"CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ROUTE","SEGMENT","OFFSET","RDWY_ORIENT","LANE_COUNT","SPEED_LIMIT","STREET_NAME","ROAD_OWNER","ACCESS_CTRL","RDWY_COUNTY"
"2001254777","4","3","","","0","W","99","","WALNUT ST","4","","67"
"2001254811","3","3","0013","0270","2937","S","02","35","SR 0013 SH","2","3","67"
"2001254814","4","3","","","0","N","99","55","FRONT ST","4","","67"
"2001248733","3","3","","","0","S","99","25","M ST","4","","67"
"2001248738","3","4","","","0","E","99","25","SOUTH ST","4","","67"
"2001248743","3","3","","","0","W","99","25","WIDENER PL","4","","67"
"2001248747","5","3","0001","0180","552","N","03","55","SR 0001 SH","2","2","67"
"2001248775","3","3","","","0","S","99","55","BOUDINOT ST","4","","67"
"2001248780","4","3","","","0","S","99","25","FAYETTE ST","4","","67"
"2001248785","3","4","","","0","E","99","55","CHEROKEE ST","4","","67"
"2001248789","4","3","","","0","E","99","25","CLEMENTINE ST","4","","67"
"2001248794","3","3","","","0","N","99","55","TULIP ST","4","","67"
"2001249408","3","3","6001","0181","563","S","03","45","SR 6001 SH","2","3","67"
"2001249415","3","4","","","0","W","99","25","BUIST AV","4","","67"
"2001249419","4","3","","","0","N","99","25","TWENTYSECOND ST","4","","67"
"2001249423","5","3","0532","0040","2384","N","01","40","SR 0532 SH","2","3","67"
"2001255847","3","4","","","0","N","99","15","FIFTYSIXTH ST","4","","67"
"2001252099","4","3","","","0","N","99","","SIXTYSEVENTH ST","4","","67"
"2001252104","3","3","","","0","S","99","","TWENTYFOURTH ST","4","","67"
"2001250500","5","3","0013","0160","2097","N","02","25","SR 0013 SH","2","3","67"
"2001250506","3","3","1001","0050","0","S","02","","SR 1001 SH","2","3","67"
"2001248801","3","4","","","0","S","99","35","GERMANTOWN AV","4","","67"
"2001248806","3","4","","","0","S","99","25","TWENTYFIRST ST","4","","67"
"2001248810","3","3","0001","0181","560","S","03","55","SR 0001 SH","2","2","67"
"2001248815","4","3","","","0","N","99","55","THIRTYFIRST ST","4","","67"
"2001248819","3","3","","","0","N","99","25","FIFTYFIRST ST","4","","67"
"2001248824","3","3","","","0","N","99","55","COBBS CREEK PY","4","","67"
"2001248827","6","4","0013","0181","0","W","02","55","","2","3","67"
"2001248834","3","3","0001","0120","1056","N","03","50","","2","1","67"
"2001248838","4","5","","","0","E","99","","YORK ST","4","","67"
"2001248842","3","4","","","0","S","99","35","SECOND ST","4","","67"
"2001248846","3","4","0291","0151","2251","W","02","25","SR 0291 SH","2","3","67"
"2001249065","5","3","0003","0070","0","E","03","25","SR 0003 SH","2","3","67"
"2001249070","3","3","","","0","S","99","15","NEWKIRK ST","4","","67"
"2001248462","4","3","","","0","N","99","15","JENNY PL","4","","67"
"2001248530","4","3","","","0","W","99","25","CHEW AV","4","","67"
"2001009131","4","5","","","","S","","","TWENTYSECOND ST","4","","67"
"2001006928","3","3","4013","0050","1130","","02","35","LINCOLN DR","2","3","67"
"2001006935","3","3","0611","0040","2481","N","2","","BROAD ST","2","3","67"
"2001006943","3","3","0073","0040","3333","E","2","30","COTTMAN AV","2","3","67"
"2001006945","3","3","1004","0150","1531","S","02","55","TORRESDALE AV","2","3","67"
"2001006950","4","5","","","","","02","25","MAGEE AV","4","","67"
"2001006968","5","4","","","","E","","","SIXTYNINTH AV","4","","67"
"2001006979","4","3","","","","W","02","","TYSON AV","4","","67"
"2001006984","4","4","0001","0241","1039","S","99","25","ROOSEVELT BL","2","3","67"
"2001006990","6","7","","","","W","02","","OXFORD AV","4","","67"
"2001007002","3","3","1005","0083","165","S","1","35","CASTOR AV","2","3","67"
"2001007014","3","3","3018","0080","469","B","2","30","HAVERFORD AV","2","3","67"
"2001007032","3","3","2010","0030","668","W","2","","CECIL B MOORE AV","2","3","67"
"2001007042","3","4","3010","0031","1635","W","2","","MARKET ST","2","3","67"
"2001007052","6","6","3010","0011","0","W","02","","MARKET ST","2","3","67"
"2001007057","3","3","0003","0050","502","E","3","35","CHESTNUT ST","2","3","67"
"2001007063","4","4","","","","N","9","25","FORTYFIFTH ST","4","","67"
"2001007081","5","3","0291","0150","2257","N","02","20","","2","3","67"
"2001007090","3","3","3018","0050","1565","E","02","45","HAVERFORD AV","2","3","67"
"2001007093","3","3","3018","0040","1800","W","02","45","HAVERFORD AV","2","3","67"
"2001007101","3","3","3010","0020","550","E","02","35","MARKET ST","2","3","67"
