"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","UNIT_NUM"
"2016016614","","","","","","","","","","","","","","","","","","","","U","N","N","N","2"
"2016019826","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2016027529","","","","","","","","","","","","","","","","","","","","U","Y","N","U","1"
"2016029767","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2016032019","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2016032109","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017005750","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017007881","N","U","N","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2017010567","U","U","Y","N","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2017052454","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2016039656","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2016040036","","","","","","","","","","","","","","","","","","","","N","U","N","U","2"
"2016041440","N","U","N","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2016047039","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2016049196","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","1"
"2016050850","N","U","N","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2016053688","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2"
"2016053861","N","Y","U","Y","Y","Y","1","Y","Y","01000","N","","","","","","","","N","","","","","2"
"2016055601","U","Y","Y","N","N","N","0","Y","Y","99999","N","","","","","","","","N","","","","","1"
"2016058549","N","U","N","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2016061227","","","","","","","","","","","","","","","","","","","","N","U","N","Y","2"
"2016062511","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2016062521","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2016063100","","","","","","","","","","","","","","","","","","","","U","Y","N","U","1"
"2016063490","U","U","U","N","N","N","0","Y","U","01300","N","","","","","","","","N","","","","","1"
"2016064149","N","N","U","N","Y","Y","1","Y","N","01300","N","","","","","","","","N","","","","","4"
"2016065619","","","","","","","","","","","","","","","","","","","","U","N","N","U","3"
"2016065689","U","U","Y","Y","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2016070630","U","U","N","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2016070660","U","U","Y","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2016080244","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2016080319","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2016080328","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2016080465","U","U","U","N","U","U","9","U","U","99999","N","","","","","","","","N","","","","","3"
"2016080477","U","U","U","N","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2016080488","U","U","U","Y","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2016080499","","","","","","","","","","","","","","","","","","","","N","N","N","U","2"
"2016080501","N","U","N","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","2"
"2016080556","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2"
"2016080687","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2016080697","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2016081429","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2016082361","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2016083341","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2"
"2016089917","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2016092053","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2016092168","U","U","U","N","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2016094636","Y","N","U","Y","N","Y","1","Y","N","00599","N","","","","","","","","N","","","","","1"
"2016097054","N","U","N","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2016097629","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2016097758","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2016105103","N","Y","Y","Y","Y","Y","1","Y","Y","00750","N","","","","","","","","N","","","","","2"
"2016105557","N","N","N","N","N","N","0","N","N","99999","Y","N","N","N","N","0","N","N","N","","","","","2"
"2016105676","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2"
"2016105742","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2016105950","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2016106340","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2016112090","","","","","","","","","","","","","","","","","","","","U","N","N","U","3"
"2016117195","U","U","Y","Y","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2016117654","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2016117662","N","U","N","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","3"
"2016119146","N","U","N","N","N","N","0","U","U","99999","Y","U","N","N","N","0","U","U","N","","","","","1"
"2016120621","U","U","Y","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2016126161","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2016129234","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2016129418","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2016129473","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2016136054","N","Y","Y","Y","U","N","1","Y","N","00675","N","","","","","","","","N","","","","","1"
"2017003621","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2016013833","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2016026112","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2016027577","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2016028346","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
