"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","UNIT_NUM"
"2014019101","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014028051","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2015006136","N","Y","Y","Y","U","U","9","Y","Y","99999","N","","","","","","","","N","","","","","1"
"2015006697","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","","","","","1"
"2015020580","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","2"
"2015020683","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014046078","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014049525","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2014049675","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2014049684","N","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2014049765","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014049866","N","U","Y","N","Y","Y","3","Y","Y","99999","N","","","","","","","","N","","","","","1"
"2014049877","U","U","U","U","U","U","1","U","U","99999","N","","","","","","","","N","","","","","1"
"2014050226","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2"
"2014054562","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014054629","U","U","Y","Y","N","N","0","U","U","99999","N","","","","","","","","N","","","","","2"
"2014059001","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014059146","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2014061020","U","U","Y","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2014063475","N","N","Y","Y","Y","Y","1","Y","Y","01000","N","","","","","","","","N","","","","","1"
"2014063875","N","Y","Y","Y","U","Y","1","Y","N","00600","N","","","","","","","","N","","","","","1"
"2014065478","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2014067535","N","Y","U","N","N","N","0","Y","N","99999","N","","","","","","","","N","","","","","1"
"2014067983","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014068120","U","U","Y","Y","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2014069437","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2014069443","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014076012","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014079636","N","N","N","N","N","N","0","N","N","99999","N","","","","","","","","N","","","","","3"
"2014081435","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2014084168","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2014084249","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2014084385","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014087882","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014087970","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014088075","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014088142","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2014088147","U","U","Y","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2014088280","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2014088298","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2"
"2014088384","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2014088793","U","U","Y","N","U","U","9","U","U","99999","N","","","","","","","","N","","","","","4"
"2014088975","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2014088982","U","U","U","N","U","U","9","U","U","99999","Y","U","N","U","U","9","U","U","N","","","","","1"
"2014089001","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2014089039","U","U","Y","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2014089040","U","U","Y","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2014091316","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2014091438","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2014095915","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2014095968","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014095980","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2014098657","N","U","N","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2014098678","U","U","Y","Y","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2014098680","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014098736","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014099200","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2014104395","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014104466","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014104622","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014104995","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2014106672","N","U","N","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2014106723","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014107210","U","U","Y","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2014110402","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2014120835","N","U","N","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2014120875","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014125058","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014130502","","","","","","","","","","","","","","","","","","","","U","Y","N","U","1"
"2014016172","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2015002705","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2015002744","N","N","U","Y","N","N","0","Y","N","99999","N","","","","","","","","N","","","","","2"
"2015006693","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014042694","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2014044607","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2014049507","U","U","U","N","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2014049788","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2014049833","U","U","Y","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2014049841","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014049870","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2014050275","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014051753","N","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2014058189","U","U","Y","U","U","Y","1","U","U","99999","N","","","","","","","","N","","","","","1"
"2014058839","N","N","Y","Y","U","Y","1","Y","N","01000","Y","N","Y","U","Y","1","N","N","N","","","","","1"
"2014059040","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014059081","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014059268","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014061084","U","U","Y","Y","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2014065554","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2"
"2014067543","N","Y","Y","Y","Y","Y","1","N","Y","99999","N","","","","","","","","N","","","","","1"
"2014068043","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014068216","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014068567","N","U","N","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2014068644","","","","","","","","","","","","","","","","","","","","U","Y","N","U","1"
"2014069428","U","U","Y","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2014070683","N","Y","N","Y","N","Y","3","Y","N","01000","N","","","","","","","","N","","","","","2"
"2014074497","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014074724","Y","N","U","N","Y","Y","1","Y","Y","00750","N","","","","","","","","N","","","","","1"
"2014074876","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014078806","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014078870","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014078912","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014083076","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2014084159","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014084200","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2014084358","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014085491","N","N","Y","Y","Y","Y","1","Y","N","00750","N","","","","","","","","N","","","","","1"
"2014087310","U","U","Y","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2014087949","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2014088078","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2014088394","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014088683","","","","","","","","","","","","","","","","","","","","N","N","N","U","2"
"2014088714","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2014088733","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","2"
