"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","04","N","2014064847","3","1","","1","06","Y","FORD","2008","01","2","","1","00","W","040","0","","2","01","01","01","03","PA","2","01","1FAHP35N88W","P4D"
"","01","N","2014053832","3","1","","1","11","Y","BMW","1995","01","1","","1","00","E","065","0","","1","01","04","01","03","IL","1","01","WBABJ5328SJ","PCV"
"","04","N","2014062459","2","1","","3","11","Y","PONT","2001","01","1","","1","00","S","999","","","1","01","12","01","03","PA","1","01","1G2NW52E41C","P4D"
"","12","N","2014061244","3","1","","1","06","Y","DODG","2011","01","1","","1","00","E","000","0","","2","01","01","03","01","PA","2","01","2D4RN4DG3BR","PSV"
"","04","N","2014061077","3","1","","1","10","Y","TOYT","2011","02","1","","1","00","S","999","","","2","01","05","01","03","NY","2","01","4T1BF3EK9BU","P4D"
"","23","N","2014061091","1","1","","1","09","N","YAMA","2014","99","1","","1","00","S","999","0","","1","01","01","01","98","ZZ","1","02","JYACE16C5EA","MMX"
"","12","N","2014061108","1","1","","1","12","Y","HOND","2003","01","1","","1","00","E","999","","","1","01","07","01","01","PA","1","07","5FNRL18013B","PSV"
"","51","N","2014064851","3","1","","1","12","Y","FORD","2010","02","1","","1","00","S","030","0","","1","01","03","01","03","PA","1","04","1FTMF1CWXAK","TPK"
"","04","N","2014068574","3","1","","1","06","U","MRCU","2004","01","1","","1","00","W","999","","","1","01","08","01","13","DE","1","01","2MEHM75W04X","P4D"
"","04","N","2014068584","2","1","","1","06","Y","CHEV","2002","01","1","","1","00","E","999","","","2","01","02","02","06","PA","2","01","2G1WF55E229","P4D"
"","19","N","2014061066","3","1","","1","06","Y","HOND","9999","99","4","","1","00","E","000","0","","2","01","07","03","03","ZZ","3","06","99999999999",""
"","12","N","2014049446","2","1","","1","02","Y","CHRY","2001","01","5","","1","00","W","999","","","2","01","06","01","01","PA","2","07","1C8GJ45381B","PSV"
"","05","N","2014049459","0","1","","1","01","Y","TOYT","2011","01","1","","1","00","W","005","0","","1","01","03","14","01","PA","1","01","JTDKN3DU4B0","P4H"
"","39","Y","2014049473","0","1","","1","99","Y","OTHR","2002","98","1","","1","00","N","999","0","","1","01","12","01","01","PA","1","03","5FYH2LV172U",""
"","41","N","2014049489","2","1","","1","12","Y","DODG","2001","02","2","","1","00","N","999","0","","1","01","01","01","01","PA","1","07","2B4GP44G41R","TES"
"","04","N","2014051185","2","1","","1","12","Y","MAZD","2000","01","1","","1","00","S","040","0","","1","01","07","01","01","PA","1","01","JM1BJ2231Y0","P4D"
"","15","N","2014049507","1","2","","1","11","U","LINC","1998","","0","","1","00","","000","","","3","02","05","06","01","PA","2","06","5LMPU28L6WL","PUT"
"","04","N","2014035813","2","1","","1","06","Y","HYUN","2005","01","3","","4","00","N","999","0","","3","01","08","16","03","DE","2","01","KMHDN46D85U","P4D"
"","04","N","2014035827","2","1","","1","07","Y","TOYT","2013","01","1","","1","00","W","060","0","","1","01","01","15","06","PA","2","01","4T4BF1FK5DR","P4D"
"","39","Y","2014037189","0","1","","1","03","Y","OTHR","2004","02","1","","1","12","S","015","0","","2","01","03","01","01","PA","2","03","5FYD2LL194U",""
"","09","N","2014041952","9","1","","2","99","U","UNKN","9999","99","1","","1","99","N","999","0","","1","01","02","01","99","ZZ","1","01","99999999999",""
"","15","N","2014043112","9","4","","1","99","U","LINC","1999","","1","","1","00","S","999","","","2","05","99","01","01","PA","2","06","5LMPU28A9XL","PUT"
"","","N","2014044552","","","","","","","","","","1","","","","","","","","3","31","","","","","2","","",""
"","04","N","2014044566","3","1","","1","03","Y","VOLV","2009","01","1","","1","00","W","999","","","2","01","05","01","03","NJ","2","01","YV1AS982X91","P4D"
"","39","Y","2014044583","1","1","","1","02","Y","FRHT","1999","02","7","","1","11","S","999","","","2","01","06","01","01","PA","3","03","4UZ6CJAC9XC","TBU"
"","04","N","2014046693","1","1","","3","11","Y","FORD","2006","02","1","","1","13","S","035","0","","1","01","03","01","06","PA","1","01","2FAHP71W46X","P4D"
"","04","N","2014046702","3","2","","1","06","Y","BUIC","2002","02","1","","1","00","W","000","0","","1","03","09","03","01","PA","3","01","2G4WS52J921","P4D"
"","12","N","2014044607","1","1","","1","10","Y","DODG","1996","01","3","","1","00","N","999","","","1","01","03","12","13","PA","1","07","2B4HB25Y7TK","PSV"
"","03","N","2014050299","3","1","","1","04","Y","PONT","2000","02","1","","1","00","N","999","","","2","01","05","01","01","PA","2","01","2G2FV22G0Y2","P2H"
"","51","N","2014047611","1","1","","1","06","Y","GMC","2011","01","4","","1","00","S","000","0","","4","01","05","03","03","PA","2","04","3GTP2VE35BG","TCW"
"","19","N","2014049754","9","4","","1","12","U","JEEP","","99","1","","1","00","S","999","0","","1","05","05","01","01","","1","06","",""
"","15","N","2014049770","3","1","","1","12","Y","LEXS","2000","01","1","","1","00","E","999","0","","3","01","03","01","01","PA","1","06","JT6HT00W8Y0","PUT"
"","01","N","2014048795","3","2","","1","06","Y","FORD","2013","01","0","","1","00","W","000","0","","2","03","04","03","01","DE","2","01","1ZVBP8EM2D5","PCV"
"","04","N","2014049773","3","1","","1","12","Y","CHEV","2003","01","3","","3","00","E","035","","","1","01","08","17","01","PA","1","01","1G1ND52J13M","P4D"
"","15","N","2014049783","3","1","","1","12","Y","GMC","2011","02","2","","1","00","E","010","0","","1","01","12","01","13","PA","1","06","1GKKVRED0BJ","T4W"
"","04","N","2014049796","3","1","","1","09","Y","FORD","2014","01","1","","1","00","N","999","0","","1","01","07","10","01","PA","1","01","1FAHP2E87EG","P4D"
"","05","N","2014049803","3","1","","1","12","Y","TOYT","2013","01","1","","1","00","S","999","","","1","01","12","01","01","PA","1","01","JTDKDTB38D1","P4H"
"","","N","2014049816","9","4","","1","99","","UNKN","","","1","","1","99","U","999","","","1","05","99","01","01","","1","99","",""
"","","N","2014049832","9","1","","1","99","","","","","1","","1","00","N","999","","","2","11","","01","01","","2","20","",""
"","09","N","2014049872","3","1","","1","03","Y","TOYT","2014","01","1","","1","00","S","999","0","","2","01","07","01","03","NJ","2","01","99999999999",""
