"CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ROUTE","SEGMENT","OFFSET","RDWY_ORIENT","LANE_COUNT","SPEED_LIMIT","STREET_NAME","ROAD_OWNER","ACCESS_CTRL","RDWY_COUNTY"
"2010073724","3","3","0676","0015","838","W","3","55","VINE ST EX","1","1","67"
"2010072525","4","4","3010","0011","1910","W","02","25","MARKET ST","2","3","67"
"2010074384","4","4","1008","0060","1118","E","4","25","LEVICK ST","2","3","67"
"2010072560","4","4","0532","0021","0","S","2","35","BUSTLETON AV","2","3","67"
"2010072568","4","4","2008","0061","2142","W","2","30","GIRARD AV","2","3","67"
"2010072572","3","3","2005","0053","0","S","2","35","SIXTH ST","2","3","67"
"2010077159","3","3","0001","0180","30","N","3","40","ROOSEVELT BL","2","2","67"
"2010074385","4","4","","","","N","01","25","FORTYEIGHTH ST","4","","67"
"2010074389","3","3","","","","S","01","","TWELFTH ST","4","","67"
"2010074395","4","4","","","","S","01","15","FORTIETH ST","4","","67"
"2010074397","3","3","3010","0080","1690","E","2","30","MARKET ST","2","3","67"
"2010074400","3","3","0003","0070","1497","E","3","35","CHESTNUT ST","2","3","67"
"2010074410","3","4","","","","W","02","25","WALNUT LN","4","","67"
"2010074416","3","4","","","","E","02","","ONTARIO RD","4","","67"
"2010074429","6","6","","","","W","03","","ARCH ST","4","","67"
"2010074431","3","3","","","","E","02","25","WELSH RD","4","","67"
"2010074440","3","3","4013","0010","685","E","2","25","WALNUT LN","2","3","67"
"2010074577","3","3","2001","0100","2292","N","3","","CHRISTOPHER COLUMBUS BL","2","3","67"
"2010074581","3","3","2001","0131","1700","S","2","25","CHRISTOPHER COLUMBUS BL","2","3","67"
"2010074445","3","4","","","","S","01","25","EDGEMONT ST","4","","67"
"2010074450","3","3","6001","0210","0","N","3","40","ROOSEVELT BL","2","3","67"
"2010074453","3","3","4001","0080","1586","N","2","35","HENRY AV","2","3","67"
"2010074458","3","4","","","","E","01","25","MONTGOMERY DR","4","","67"
"2010074464","7","7","","","","N","02","25","LANSDOWNE DR","4","","67"
"2010074466","3","4","","","","W","02","25","E RD","4","","67"
"2010074471","3","3","","","","E","01","","MIFFLIN ST","4","","67"
"2010074474","3","4","","","","W","02","","GLENWOOD ST","4","","67"
"2010074486","5","5","2009","0090","0","N","3","30","HARBISON AV","2","3","67"
"2010074490","4","3","","","","S","02","25","SUMMERDALE AV","4","","67"
"2010074493","4","3","","","","E","02","35","HUNTING PARK AV","4","","67"
"2010074496","3","4","","","","N","02","25","CRESSON ST","4","","67"
"2010074500","3","4","","","","S","01","","WORTH ST","4","","67"
"2010074505","3","3","4004","0030","1441","S","2","35","CHEW AV","2","3","67"
"2010074511","3","3","","","","S","04","30","OGONTZ AV","4","","67"
"2010074517","3","4","","","","S","01","35","FRANKLIN ST","4","","67"
"2010074521","4","4","0291","0041","0","W","1","35","PENROSE AV","2","3","67"
"2010074525","4","4","0073","0011","1280","W","2","30","COTTMAN AV","2","3","67"
"2010074530","6","6","1009","0015","605","W","2","25","BRIDGE ST","2","3","67"
"2010074533","4","4","4013","0040","1376","W","2","25","CLIVEDEN ST","2","3","67"
"2010074537","4","4","","","","S","04","35","TWENTYFIFTH ST","4","","67"
"2010078300","4","4","","","","W","01","25","PENN ST","4","","67"
"2010073005","3","3","0676","0014","2532","E","3","55","VINE ST EX","1","1","67"
"2010074546","4","4","2014","0081","0","W","2","25","LEHIGH AV","2","3","67"
"2010074552","4","4","","","","N","01","25","EIGHTEENTH ST","4","","67"
"2010074556","4","4","2016","0081","2276","W","2","30","ALLEGHENY AV","2","","67"
"2010074560","3","3","","","","S","01","","N LAWRENCE ST","4","","67"
"2010074567","4","3","","","","N","02","25","FRONT ST","4","","67"
"2010074572","3","4","","","","S","02","25","PAXON ST","4","","67"
"2010074586","4","4","","","","N","02","25","TABOR AV","4","","67"
"2010074590","5","5","","","","E","01","30","KELVIN AV","4","","67"
"2010074595","3","4","","","","N","02","","57TH ST","4","","67"
"2010074600","3","4","","","","S","01","25","TWELFTH ST","4","","67"
"2010074604","3","3","3005","0140","383","N","2","35","BELMONT AV","2","3","67"
"2010074609","5","5","","","","S","01","35","SIXTEENTH ST","4","","67"
"2010074614","5","5","","","","N","02","25","EASTWICK AV","4","","67"
"2010074617","5","5","3025","0010","0","E","2","35","LINDBERGH BL","2","3","67"
"2010074621","3","3","3023","0040","1258","W","2","25","KINGSESSING AV","2","3","67"
"2010074627","4","4","1014","0080","0","W","2","35","RHAWN ST","2","3","67"
"2010074631","3","3","0001","0221","625","S","3","40","ROOSEVELT BL","2","3","67"
"2010074636","3","3","0073","0051","1049","W","2","30","COTTMAN AV","2","3","67"
"2010074643","3","3","","","","W","01","25","MOORE ST","4","","67"
"2010074648","3","4","","","","S","01","","SEVENTEENTH ST","4","","67"
"2010074653","3","3","3014","0020","0","E","1","25","SPRING GARDEN ST","2","3","67"
"2010074656","3","3","1008","0010","698","W","3","25","LEVICK ST","2","3","67"
"2010074661","3","3","","","","W","01","25","LOCUST AV","4","","67"
"2010074667","3","4","","","","S","02","25","TWELFTH ST","4","","67"
"2010074670","3","3","2004","0010","376","E","2","25","MARKET ST","2","3","67"
"2010074905","3","3","3010","0021","844","W","2","25","MARKET ST","2","3","67"
"2010074908","3","3","0611","0170","563","N","2","30","BROAD ST","2","3","67"
"2010074831","3","3","1016","0031","393","W","2","30","HOLME AV","2","3","67"
"2010074836","3","4","","","","N","02","","POWELTON AV","4","","67"
"2010074842","4","4","","","","E","02","","PARKER AV","4","","67"
"2010074845","3","4","","","","W","01","","NAPFLE AV","4","","67"
"2010074849","3","5","6001","0270","0","N","3","40","ROOSEVELT BL","2","3","67"
"2010074856","5","5","","","","S","01","25","PENNWAY ST","4","","67"
"2010074860","3","3","","","","S","02","","7TH ST","4","","67"
"2010074865","3","3","3021","0040","507","W","2","25","ELMWOOD AV","2","3","67"
"2010074869","5","4","","","","S","02","","KEMBLE AV","4","","67"
"2010074872","3","4","","","","W","02","","WARRINGTON AV","4","","67"
"2010073261","3","3","0095","0255","1335","S","5","55","DELAWARE EX","1","1","67"
"2010073308","3","3","0532","0031","757","S","2","35","BUSTLETON AV","2","3","67"
"2010074875","3","4","","","","S","02","","AMERICAN ST","4","","67"
"2010074879","3","4","","","","N","01","","EMERALD ST","4","","67"
"2010074884","4","5","","","","W","02","","HAVERFORD AV","4","","67"
"2010074890","3","3","1004","0120","1645","S","2","","TORRESDALE AV","2","3","67"
"2010074894","4","4","0611","0011","1125","S","4","30","BROAD ST","2","3","67"
"2010074900","4","3","","","","E","02","","SHELMIRE RD","4","","67"
"2010074904","6","6","3021","0071","3600","W","2","25","GRAYS FERRY AV","2","3","67"
"2010077960","3","3","0095","0311","2083","S","4","55","DELAWARE EX","1","1","67"
"2010077973","3","3","0076","3405","1331","W","4","50","SCHUYLKILL EX","1","1","67"
"2010073377","4","3","","","","W","02","","RED LION RD","4","","67"
"2010075118","4","3","","","","N","02","","FIFTYFOURTH ST","4","","67"
"2010074980","4","4","1018","0021","1786","W","2","30","GRANT AV","2","3","67"
"2010074983","4","3","","","","E","02","","LOGAN ST","4","","67"
"2010074987","3","3","3010","0055","2379","W","2","30","MARKET ST","2","3","67"
"2010074998","3","3","","","","N","02","","FORDHAM RD","4","","67"
"2010075005","3","3","","","","N","02","25","LINCOLN DR","4","","67"
"2010075017","3","3","1005","0020","1288","N","2","35","DELAWARE AV","2","3","67"
"2010075022","3","3","1018","0050","1992","E","2","45","GRANT AV","2","3","67"
"2010075029","5","5","","","","E","02","","CLARENDON AV","4","","67"
"2010075033","3","3","4005","0030","2379","S","2","25","GERMANTOWN AV","2","3","67"
"2010075039","3","3","1003","0010","1142","N","2","25","B ST","2","3","67"
"2010075042","3","3","4013","0050","2471","N","2","35","LINCOLN DR","2","3","67"
"2010075046","5","5","","","","E","02","","LOCUST ST","4","","67"
"2010075050","4","3","","","","S","01","25","DITMAN ST","4","","67"
"2010075055","3","4","","","","N","02","35","H ST","4","","67"
"2010075059","4","4","","","","E","02","25","TABOR RD","4","","67"
"2010075064","3","3","2001","0180","508","S","2","25","RICHMOND ST","2","3","67"
"2010075069","4","4","1003","0021","0","S","2","35","WHITAKER AV","2","3","67"
"2010075074","3","3","6001","0250","564","N","3","40","ROOSEVELT BL","2","3","67"
"2010081811","3","3","1003","0050","0","N","3","35","WHITAKER AV","2","3","67"
"2010075082","5","5","","","","E","02","","PRESIDENT ST","4","","67"
"2010075088","3","3","3018","0050","0","E","2","45","HAVERFORD AV","2","3","67"
"2010075092","3","3","","","","N","02","35","N FIFTH ST","4","","67"
"2010075099","3","3","3021","0010","1499","W","2","25","ELMWOOD AV","2","3","67"
"2010075104","3","3","0003","0100","1818","E","2","35","CHESTNUT ST","2","3","67"
"2010075111","5","5","","","","E","03","35","BERKLEY ST","4","","67"
"2010076971","3","3","0076","3445","3044","W","2","50","SCHUYLKILL EX","1","1","67"
"2010075123","3","4","","","","W","02","30","CHEW AV","4","","67"
"2010075129","4","4","","","","S","02","","C ST","4","","67"
"2010076337","3","3","0095","0220","1602","N","4","55","DELAWARE EX","1","1","67"
"2010081607","3","4","","","","E","02","35","SOLLY AV","4","","67"
"2010071521","5","5","","","","E","01","25","ELLSWORTH ST","4","","67"
"2010071528","3","3","","","","W","01","","HUNTINGDON ST","4","","67"
"2010071531","4","3","","","","N","02","","OGONTZ AV","4","","67"
"2010073576","4","4","","","","N","02","","SEVENTH ST","4","","67"
"2010074088","6","6","1009","0015","605","W","02","25","BRIDGE ST","2","3","67"
"2010075831","3","3","0076","3410","190","E","4","50","SCHUYLKILL EX","1","1","67"
"2010075880","4","3","","","","E","02","","LANSDOWNE AV","4","","67"
"2010075887","5","5","","","","E","02","30","WOODHAVEN RD","4","","67"
"2010075890","5","5","","","","E","02","","SCOTCHBROOK DR","4","","67"
"2010075896","3","3","3007","0070","3466","N","2","30","KELLY DR","2","3","67"
"2010075900","6","3","3007","0030","1092","N","03","30","","2","3","67"
"2010075904","4","4","","","","E","02","","COMLY RD","4","","67"
"2010075908","7","7","","","","E","02","25","SPRUCE ST","4","","67"
"2010075911","5","4","","","","E","02","","WINDRIM AV","4","","67"
"2010075916","4","4","","","","N","02","25","SIXTYSIXTH ST","4","","67"
"2010073635","4","3","","","","S","04","","TWENTYFIFTH ST","4","","67"
"2010116315","6","6","3028","0011","0","S","2","25","JOHN F KENNEDY BL","2","3","67"
"2010116317","3","3","0611","0040","915","N","2","30","BROAD ST","2","3","67"
"2010116327","4","3","","","","S","02","25","SIXTYSECOND ST","4","","67"
"2010116331","3","4","","","","N","01","","SIXTEENTH ST","4","","67"
"2010116339","4","3","","","","W","02","25","WYNNEFIELD AV","4","","67"
"2010116343","3","3","0003","0071","1030","W","3","35","WALNUT ST","2","3","67"
"2010116350","4","3","","","","E","02","","RYAN AV","4","","67"
"2010116356","4","3","3009","0190","0","N","03","35","RIDGE AV","2","3","67"
"2010116360","4","4","","","","N","02","","THIRTYSIXTH ST","4","","67"
"2010112124","3","3","0095","0255","753","S","5","55","DELAWARE EX","1","1","67"
"2010114248","6","6","","","","S","02","25","EIGHTEENTH ST","4","","67"
"2010114273","4","4","2016","0090","2133","E","2","30","ALLEGHENY AV","2","3","67"
"2010114294","4","3","","","","W","01","25","CAMBRIA ST","4","","67"
"2010114315","4","4","","","","S","02","","SEVENTH ST","4","","67"
"2010114319","3","4","","","","W","01","","WESTMORELAND ST","4","","67"
"2010114323","4","4","9103","0010","0","N","1","","RAMP E RD","2","3","67"
"2010116589","5","5","","","","N","02","25","COVENTRY AV","4","","46"
"2010120990","3","3","0095","0294","1496","N","4","55","DELAWARE EX","1","1","67"
"2010112422","4","3","","","","E","02","25","GLENWOOD AV","4","","67"
"2010114330","3","3","1003","0021","728","S","2","35","WHITAKER AV","2","3","67"
"2010114336","4","4","","","","N","01","","ELEVENTH ST","4","","67"
"2010116309","5","5","","","","W","02","","WOODWARD ST","4","","67"
"2010118748","7","7","","","","W","04","","PRESIDENTIAL BL","4","","46"
"2010121135","3","3","6001","0181","0","S","3","40","ROOSEVELT BL","2","3","67"
"2010114655","3","3","0095","0184","956","N","3","55","DELAWARE EX","1","1","67"
"2010119450","3","3","0095","0310","1767","N","4","55","DELAWARE EX","1","1","67"
"2010112755","3","3","0095","0165","3866","S","4","55","DELAWARE EX","1","1","67"
"2010112763","4","4","8018","0020","2365","W","2","40","RAMP RD","2","1","67"
"2010119003","3","3","0676","0002","705","E","3","55","VINE ST EX","1","1","67"
