"CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ROUTE","SEGMENT","OFFSET","RDWY_ORIENT","LANE_COUNT","SPEED_LIMIT","STREET_NAME","ROAD_OWNER","ACCESS_CTRL","RDWY_COUNTY"
"2018072424","5","5","","","","W","01","35","VALLEY AV","4","","67"
"2018067820","4","4","3003","0041","1834","S","02","40","THIRTYFOURTH ST","2","3","67"
"2018082706","3","3","","","","N","02","25","RISING SUN AV","4","","67"
"2018063978","4","4","","","","E","02","25","HOWELL ST","4","","67"
"2018063631","3","3","0076","3454","3311","E","2","50","SCHUYLKILL EX","1","1","67"
"2018072479","5","5","","","","W","02","30","SOMERVILLE AV","4","","67"
"2018068616","3","3","0676","0003","3138","W","3","55","VINE STREET EX","1","1","67"
"2018066173","5","4","","","","S","02","25","D ST","4","","67"
"2018065759","3","4","","","","W","02","25","RUSCOMB ST","4","","67"
"2018067416","6","6","4017","0081","1058","S","1","35","UPSAL ST","2","3","67"
"2018065689","3","5","","","","N","2","25","EIGHTH ST","4","","67"
"2018067426","3","3","","","","N","01","25","N 31ST ST","4","","67"
"2018061823","5","5","","","","E","02","","GREGG ST","4","","67"
"2018071777","3","3","2014","0080","477","E","2","25","LEHIGH AV","2","3","67"
"2018090469","3","3","0095","0185","72","S","3","55","DELAWARE EX","1","1","67"
"2018063876","5","5","","","","W","01","25","WOOD ST","4","","67"
"2018067409","3","3","1005","0070","0","N","2","30","CASTOR AV","2","3","67"
"2018072763","3","3","0076","3445","3567","W","2","50","SCHUYLKILL EX","1","1","67"
"2018050405","3","3","0095","0304","2420","N","4","55","DELAWARE EX","1","1","67"
"2018062021","4","3","","","","S","02","20","GREGG ST","4","","67"
"2018067440","5","5","","","","S","02","25","FOX ST","4","","67"
"2018082728","3","3","","","","N","02","","PENNYPACK ST","4","","67"
"2018076848","5","5","","","","S","02","25","MILLICK ST","4","","67"
"2018065702","3","4","","","","W","02","30","WALNUT LN","4","","67"
"2018058699","3","3","1004","0220","0","S","2","30","TORRESDALE AV","2","3","67"
"2018065752","4","4","","","","S","01","25","73RD ST","4","","67"
"2018065728","4","4","","","","N","01","25","RANDOLPH ST","4","","67"
"2018065726","3","3","0001","0161","0","S","3","40","ROOSEVELT BL","2","3","67"
"2018076898","3","3","3007","0050","0","N","3","30","ART MUSEUM CR","2","3","67"
"2018083482","5","5","4004","0080","0","W","2","25","OLNEY AV","2","3","67"
"2018107854","3","3","0076","3440","605","E","2","50","SCHUYLKILL EX","1","1","67"
"2018088490","3","3","","","","E","01","25","TIOGA ST","4","","67"
"2018064004","5","5","","","","E","06","35","LINDBERGH BL","4","","67"
"2018081059","3","3","4007","0040","1839","S","2","25","WAYNE AV","2","3","67"
"2018066182","3","3","2007","0100","1148","N","2","25","FRANKFORD AV","2","3","67"
"2018085435","4","4","0291","0161","2272","S","2","25","BROAD ST","2","3","67"
"2018066190","3","3","0030","0060","3682","E","1","25","GIRARD AV","2","3","67"
"2018087592","3","4","","","","E","02","25","ELEANOR ST","4","","67"
"2018067807","3","4","","","","E","02","25","UNRUH AV","4","","67"
"2018078327","3","3","","","","W","02","25","W 65TH AV","4","","67"
"2018059654","3","3","0013","0301","1535","S","2","30","FRANKFORD AV","2","3","67"
"2018063924","5","5","0003","0030","0","E","3","35","CHESTNUT ST","2","3","67"
"2018063891","3","3","3013","0040","2325","N","2","35","ISLAND AV","2","3","67"
"2018067417","4","3","","","","S","02","25","THOURON ST","4","","67"
"2018085569","3","3","0095","0145","2554","S","4","55","DELAWARE EX","1","1","67"
"2018066231","5","5","3010","0054","0","E","4","30","MARKET ST","2","3","67"
"2018086765","3","3","","","","N","01","25","PASSYUNK AV","4","","67"
"2018066194","3","3","3005","0150","0","N","2","35","BELMONT AV","2","3","67"
"2018066216","7","7","","","","W","02","30","SPRUCE ST","4","","67"
"2018071799","3","3","","","","N","2","35","BLUE GRASS RD","4","","67"
"2018065780","3","3","3019","0010","955","N","2","35","BARTRAM AV","2","3","67"
"2018069823","5","5","","","","E","02","25","MOYAMENSING AV","4","","67"
"2018085365","5","5","","","","E","02","25","RACE ST","4","","67"
"2018049344","3","3","0076","3440","429","E","2","50","SCHUYLKILL EX","1","1","67"
"2018067474","4","3","4006","0010","1190","E","1","35","CITY LINE LOWER BR","2","3","67"
"2018071779","3","4","","","","S","02","25","ANDERSON ST","4","","67"
"2018071788","3","3","2006","0090","415","E","2","25","SPRING GARDEN ST","2","3","67"
"2018057138","3","3","0001","0221","350","S","3","40","ROOSEVELT BL","2","3","67"
"2018081070","3","3","","","","U","01","25","RAMP RD","2","","67"
"2018072425","5","5","","","","N","02","30","ORTHODOX ST","4","","67"
"2018065769","3","3","1004","0030","1927","E","2","30","ERIE AV","2","3","67"
"2018067817","3","3","","","","N","02","25","N 44TH ST","4","","67"
"2018063983","3","3","4007","0020","634","N","2","25","WAYNE AV","2","3","67"
"2018078328","3","3","0001","0131","2147","S","2","50","ROOSEVELT BOULEVARD EX","2","1","67"
"2018063993","3","3","","","","S","01","25","LEITHGOW ST","4","","67"
"2018065785","3","3","2009","0040","826","N","2","30","ARAMINGO AV","2","3","67"
"2018065763","4","3","","","","E","01","30","BRILL ST","4","","67"
"2018072401","3","4","","","","E","01","30","CUMBERLAND ST","4","","67"
"2018065756","3","4","","","","N","02","25","COTTAGE ST","4","","67"
"2018065766","3","4","","","","W","02","25","BARNES ST","4","","67"
"2018072517","4","4","0611","0181","2250","S","2","30","BROAD ST","2","3","67"
"2018072412","3","5","","","","N","02","25","SUMMERDALE AV","4","","67"
"2018065771","3","3","0013","0100","466","N","2","25","THIRTYTHIRD ST","2","3","67"
"2018065782","3","3","2676","0010","0","E","3","25","VINE ST","2","3","67"
"2018072424","3","3","4001","0100","812","N","2","35","HENRY AV","2","3","67"
"2018072464","3","3","1002","0080","394","E","2","35","ADAMS AV","2","3","67"
"2018060056","3","3","1001","0120","2699","S","2","35","VERREE RD","2","3","67"
"2018087591","4","4","1002","0011","1805","W","2","35","CHELTENHAM AV","2","3","67"
"2018066231","4","4","0013","0071","0","S","2","25","THIRTYEIGHTH ST","2","3","67"
"2018067447","4","3","","","","E","02","25","POWELTON AV","4","","67"
"2018078317","3","3","3017","0070","2803","N","2","35","PARKSIDE AV","2","3","67"
"2018064147","3","3","0611","0130","477","N","2","30","BROAD ST","2","3","67"
"2018095304","3","3","0003","0060","2354","E","2","35","CHESTNUT ST","2","3","67"
"2018067459","3","3","0001","0020","2106","N","2","35","CITY AV","2","3","67"
"2018076892","4","4","1005","0141","1105","S","2","30","CASTOR AV","2","3","67"
"2018066200","4","4","1009","0091","0","S","2","25","BUSTLETON AV","2","3","67"
"2018077409","3","3","","","","S","02","25","LARGE ST","4","","67"
"2018067418","3","4","","","","S","01","25","GREENE ST","4","","67"
"2018072426","3","3","3018","0060","607","W","2","45","HAVERFORD AV","2","3","67"
"2018072431","5","5","2014","0040","926","W","2","30","LEHIGH AV","2","3","67"
"2018067461","3","3","0001","0050","2412","N","2","35","CITY AV","2","3","67"
"2018086106","4","4","8011","0250","385","S","1","20","RAMP D RD","2","1","67"
"2018078326","4","4","3007","0041","1772","W","3","25","BENJAMIN FRANKLIN PY","2","3","67"
"2018089824","3","3","0095","0271","1319","S","3","55","DELAWARE EX","1","1","67"
"2018064049","3","3","1001","0150","880","N","2","35","VERREE RD","2","3","67"
"2018067440","3","3","0013","0150","0","E","2","30","HUNTING PARK AV","2","3","67"
"2018081073","3","3","1009","0090","1101","N","2","25","BUSTLETON AV","2","3","67"
"2018083764","4","4","3017","0061","1327","S","2","35","FIFTYSECOND ST","2","3","67"
"2018064016","4","4","","","","W","02","25","RITTENHOUSE ST","4","","67"
"2018057893","3","3","","","","W","01","25","W NORRIS ST","4","","67"
"2018066216","5","5","3031","0010","374","N","2","35","MARSHALL RD","2","3","67"
"2018090465","3","3","0095","0165","1174","S","3","55","DELAWARE EX","1","1","67"
"2018082722","3","3","6001","0161","117","S","03","40","ROOSEVELT BL","2","3","67"
"2018063992","4","4","","","","N","01","25","13TH ST","4","","67"
"2018072390","4","4","","","","S","02","25","54TH ST","4","","67"
"2018059419","3","3","","","","E","02","25","HOFFNAGLE ST","4","","67"
"2018088159","3","3","0095","0204","1108","N","4","55","DELAWARE EX","1","1","67"
"2018060471","3","4","","","","W","01","20","CASTLE AV","4","","67"
"2018067824","3","3","3003","0030","130","N","2","40","TWENTYSIXTH ST","2","3","67"
"2018072474","3","4","","","","E","01","25","WILLARD ST","4","","67"
"2018059125","3","3","4007","0020","634","N","2","25","WAYNE AV","2","3","67"
"2018063997","5","3","1016","0002","185","E","02","35","HOLME AV","2","3","67"
"2018065690","3","3","3017","0010","574","W","2","25","WHITBY AV","2","3","67"
"2018063887","3","3","2001","0140","702","N","1","30","RICHMOND ST","2","3","67"
"2018066168","5","4","","","","S","02","30","PIKE ST","4","","67"
"2018066221","5","5","","","","E","02","25","PASCHALL AV","4","","67"
"2018063933","3","3","","","","N","02","25","SEVENTH ST","4","","67"
"2018063228","3","3","0095","0255","268","S","5","55","DELAWARE EX","1","1","67"
"2018088808","6","6","","","","S","02","25","LC TO FRONTAGE RD","4","","67"
"2018087637","4","4","3037","0013","0","W","02","35","JOHN F KENNEDY BL","2","3","67"
"2018054484","3","3","1013","0020","75","N","2","35","ACADEMY RD","2","1","67"
"2018057241","3","4","0532","0010","50","N","02","35","WELSH RD","2","3","67"
"2018067813","3","3","","","","W","02","25","PARRISH ST","4","","67"
"2018072442","3","3","1002","0020","1848","E","2","35","CHELTENHAM AV","2","3","67"
"2018061562","3","3","0001","0161","0","S","02","40","ROOSEVELT BL","2","3","67"
"2018058570","3","3","2001","0091","201","S","3","35","CHRISTOPHER COLUMBUS BL","2","3","67"
"2018063927","3","3","","","","S","02","30","S 62ND ST","4","","67"
"2018072444","4","4","2014","0051","788","W","2","25","LEHIGH AV","2","3","67"
"2018064974","4","3","","","","W","01","20","WEBSTER ST","4","","67"
"2018067466","3","4","","","","E","02","25","RED LION RD","4","","67"
"2018081073","5","5","","","","E","02","25","TYSON AV","4","","67"
"2018058796","3","3","0676","0014","3630","E","2","55","VINE STREET EX","1","1","67"
"2018083781","3","3","0076","3440","1923","E","2","50","SCHUYLKILL EX","1","1","67"
"2018016307","4","3","","","","W","02","25","LOUDON ST","4","","67"
"2018011681","4","4","8003","0500","490","S","1","20","RAMP RD","2","1","67"
"2018004353","3","3","0001","0161","913","S","3","40","ROOSEVELT BL","2","3","67"
"2018005683","4","4","8018","0020","2365","W","2","40","RAMP RD","2","1","67"
"2018008658","3","3","0076","3444","4933","E","2","50","SCHUYLKILL EX","1","1","67"
"2018012745","3","3","0076","3421","2409","W","3","50","SCHUYLKILL EX","1","1","67"
"2018030436","3","3","0095","0185","2255","S","3","55","DELAWARE EX","1","1","67"
"2018013676","3","3","8007","0510","3363","S","1","20","RAMP RD","2","1","67"
"2018021898","5","5","3003","0030","1171","N","2","40","TWENTYSIXTH ST","2","3","67"
"2018028724","3","3","3015","0040","2505","S","2","25","COBBS CREEK PY","2","3","67"
"2018032547","3","3","0076","3400","311","E","4","50","SCHUYLKILL EX","1","1","67"
"2018005701","3","3","0095","0294","2916","N","4","55","DELAWARE EX","1","1","67"
"2018008012","3","3","0095","0201","1358","S","4","55","DELAWARE EX","1","1","67"
"2018011181","3","3","0095","0225","1748","S","4","55","DELAWARE EX","1","1","67"
"2018011941","3","3","","","","E","01","20","E BUTLER ST","4","","67"
