"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2004012824,"99","8","UNKNOWN","","PHILADELPHIA","PA","99999","SEPTA","9999999999","","","","","","N","","","","","","","","1","","11"
2004012825,"99","7","502 HADONFIELD BERLIN","","VORHEES","NJ","08043","UNITED WASTE COMPANY","2154256900","999999","","","","","N","","","","","999999999","N","","2","99999999","05"
2004012856,"99","1","1 KEYSTONE AVE,BUILDING","","CHERRY HILL","NJ","08003","VTI","9999999999","999999","","","","","N","","","","","999999999","N","","1","99999999","08"
2004012865,"99","8","3740 E THOMPSON","","PHILADELPHIA","PA","19137","ATALANTIC EXPRESS OF PA","2155375404","","","","","","N","","","","","","","","2","00000000","11"
2004012880,"99","8","UNKNOWN","","PHILADELPHIA","PA","99999","SEPTA","9999999999","","","","","","N","","","","","","","","2","00000000","11"
2004012899,"99","8","7559 WALTON DR","","ROCKFORD","IL","61108","COACH LEASING","9999999999","999999","","","","","N","","","","","999999999","N","","1","99999999","11"
2004012899,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","999999999","N","","2","99999999","11"
2004018200,"99","1","111 N. SPORTING HILL RD","","MECHANICSBURG","PA","17050","WIRE WOLF DISTR. INC.","7177300184","033000","","","","","N","","","","","999999999","N","","1","99999999","05"
2004018200,"99","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","2155806414","999999","","","","","N","","","","","999999999","N","","3","99999999","11"
2004018202,"99","1","P.O. BOX 224","","DES MOINES","IA","50301","JACOBSON TRANSPORT","8005693323","999999","","","","","N","","","","","999999999","N","","1","09999999","06"
