"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","04","N","2017014007","3","1","","1","12","Y","NISS","2014","02","1","","1","00","W","999","","","1","01","99","12","04","CA","1","01","3N1AB7AP5EY","P4D"
"","04","N","2017014101","3","2","","1","06","N","NISS","2014","","1","","1","00","","000","","","2","02","01","06","01","PA","3","01","3N1AB7AP6EY","P4D"
"","04","N","2017013200","3","1","","3","03","U","CHRY","2008","02","1","","1","00","E","999","","","2","01","07","01","01","PA","3","01","1C3LC56R18N","P4D"
"","15","N","2017010668","3","1","","5","03","Y","CHEV","2007","01","1","","1","00","W","999","","","2","01","05","01","07","PA","3","01","1GNFK13057J","PUT"
"","04","N","2017010978","2","1","","1","02","Y","TOYT","2003","03","1","","1","00","S","999","0","","2","01","04","10","03","PA","2","01","4T1BE30KX3U","P4D"
"","","N","2017010614","","","","","","","","","","1","","","","","","","","2","31","","","","","2","","",""
"","15","N","2017013192","3","1","","3","11","Y","CHRY","2005","01","1","","1","00","N","999","0","","1","01","07","01","01","PA","1","01","2C4GF48445R","PUT"
"","51","N","2017013189","2","2","","1","11","Y","DODG","2013","","1","","1","00","S","000","0","","3","02","01","06","11","PA","2","04","3C6JR7DT9DG","TPK"
"","04","N","2017024722","3","1","","1","12","Y","TOYT","2012","01","1","","1","00","E","035","0","","1","01","05","01","03","PA","1","01","4T4BF1FK2CR","P4D"
"","04","N","2017013194","3","1","","1","06","Y","FORD","2012","02","3","","1","00","N","025","0","","3","01","11","02","01","PA","3","01","3FAHP0HA4CR","P4D"
"","04","N","2017013962","1","2","","1","08","Y","HYUN","2009","","0","","1","00","","000","0","","3","02","05","06","11","PA","2","01","5NPET46CX9H","P4D"
"","02","N","2017007767","3","1","","1","11","Y","BMW","2015","02","1","","1","00","S","999","0","","2","01","05","12","04","PA","2","01","WBA3R5C52FK","PCP"
"","04","N","2017010656","3","1","","1","12","Y","HOND","2002","01","1","","1","00","W","999","","","1","01","02","15","01","PA","1","01","1HGCG16512A","P4D"
"","04","N","2017013995","3","1","","1","99","Y","BMW","1994","01","1","","1","00","N","999","","","2","01","04","01","01","PA","2","01","WBAGD432XRD","P4D"
