"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","UNIT_NUM"
"2018026739","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2018027524","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2017014003","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","1"
"2017025195","N","Y","U","Y","Y","Y","1","Y","Y","00636","N","","","","","","","","N","","","","","1"
"2017041356","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017043848","","","","","","","","","","","","","","","","","","","","N","N","N","U","2"
"2017043867","","","","","","","","","","","","","","","","","","","","N","N","N","N","1"
"2017043878","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017052228","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2017052241","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017052274","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017052429","U","U","N","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2017053236","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2"
"2017055581","U","U","N","N","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2017058239","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017058263","U","U","Y","Y","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2017066956","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","3"
"2017067785","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2017067887","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017067924","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017076146","N","U","N","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2017076265","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2017086074","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2017086096","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","1"
"2017086636","U","U","N","U","U","N","1","Y","U","99999","N","","","","","","","","N","","","","","1"
"2017088736","U","U","N","N","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2017088817","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2"
"2017088829","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017088924","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017088948","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2017088972","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2017091801","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017091822","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2017092355","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017092410","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","2"
"2017093589","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017096561","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2017097923","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017097953","U","U","N","N","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2017099658","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","1"
"2017104839","N","N","N","Y","N","N","0","Y","Y","01500","N","","","","","","","","N","","","","","1"
"2017105999","","","","","","","","","","","","","","","","","","","","N","N","N","U","1"
"2017109756","","","","","","","","","","","","","","","","","","","","U","N","N","Y","2"
"2017109905","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2"
"2017109941","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2017109971","U","U","U","U","U","U","9","U","U","99999","U","","","","","","","","U","","","","","1"
"2017115908","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017115933","U","U","Y","Y","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2017115963","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017120721","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2017127511","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017130723","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2"
"2017135080","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2018026738","N","U","N","N","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2018027482","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2017013976","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","","","","","1"
"2017014084","U","U","Y","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2017043850","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017047545","N","Y","Y","Y","N","N","0","Y","N","00650","N","","","","","","","","N","","","","","1"
"2017047890","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2"
"2017050642","N","N","U","Y","N","N","0","N","N","00650","N","","","","","","","","N","","","","","1"
"2017052096","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2017052097","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017052295","N","U","N","N","N","N","0","U","U","99999","Y","U","N","N","N","0","U","U","N","","","","","1"
"2017052301","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2017055357","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","2"
"2017055582","N","U","N","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","2"
"2017055621","U","U","Y","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2017060513","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2017067677","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2"
"2017067966","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2"
"2017068202","N","N","Y","Y","Y","Y","2","Y","N","00600","N","","","","","","","","N","","","","","1"
"2017076296","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017078788","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2017078831","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017082273","N","N","Y","Y","Y","Y","1","Y","N","00600","N","","","","","","","","N","","","","","1"
"2017084828","Y","N","Y","Y","U","Y","3","Y","N","01690","N","","","","","","","","N","","","","","2"
"2017086128","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017086156","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2"
"2017086330","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017086769","U","U","Y","Y","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2017086784","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
