"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2017010612,"99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","2155807800","999999","","","","","N","","","","","","N","","1","00006088","10"
2017015232,"04","4","1750 WALTON RD","","BLUE BELL","PA","19422","HIGHWAY MATERIALS ONC","6108328000","073280","","","","","N","","","","","","N","","1","02185972","04"
2017019534,"02","8","4300 WEAVER PARKWAY","","WARRENVILLE","IL","60555","DURHAM SCHOOL SERVICES LP","6308219059","027500","","","","","N","","","","","","N","","2","00350651","11"
2017020480,"03","9","4665 CALVERT DR UNIT 10","","ROLLING MEADOWS","IL","60008","AZIM TRANS INC","6308030547","080000","","","","","N","","","","","","N","","1","02481268","08"
2017023112,"04","6","411 GARDNER ST","","PHILADELPHIA","PA","191162735","ALFA TRANSPORTATION INC","4128053553","026000","","","","","N","","","","","","N","","1","02903820","08"
2017028851,"99","9","4000 CLINE","","UNKNOWN","IN","99999","PENNS TRUCK LEASING","9999999999","999999","","","","","N","","","","","","N","","1","","05"
2017028938,"99","9","1809 PENNSYL AV","","CROYDON","PA","19021","JETCON INC","9999999999","073280","","","","","N","","","","","","N","","1","","05"
2017028967,"99","9","N LINCOLN","","UNKNOWN","OK","99999","HALIBURT ON ENERGY INC","9999999999","999999","","","","","N","","","","","","N","","2","","08"
2017035434,"05","1","52585 DEQUINDRE RD","","ROCHESTER","MI","48308","LETICA","2486520557","080000","","","","","N","","","","","","N","","2","00146102","08"
2017035436,"03","3","568 BLACKBIRD","","SMYRNA","DE","19977","MURRY TRUCKING LLC","3022335024","080000","","","","","N","","","","","","N","","2","00595960","08"
2017037187,"05","2","4985 LANCASTER AVE","","PHILADELPHIA","PA","19131","PHOENIX ENERGY GROUP","2158799522","068000","","","","","N","","","","","","N","","2","00957345","08"
2017037489,"99","9","100 S BROAD ST,3RD FL","","PHILA","PA","19110","CITY OF PHILA","9999999999","035000","","","","","N","","","","","","N","","2","","05"
2017037528,"99","1","401 DOMINO LN","","WAYNE","PA","19087","PENN DISTRIBUTOR","9999999999","033000","","","","","N","","","","","","N","","2","","05"
2017040515,"99","1","1961 HARTEL AVENUE","","LEVITTOWN","PA","19057","VELTRI INC","2159466400","080000","","","","","N","","","","","","N","","2","00398991","08"
2017041159,"99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","3","","11"
2017041384,"02","2","4000 CLINE AVE","","EAST CHICAGO","IN","46312","PENSKE TRUCK LEASING","9999999999","999999","","","","","N","","","","","","N","","1","","03"
2017041430,"99","8","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","999999","","","","","N","","","","","","N","","1","","11"
2017045674,"05","1","1318 E 236TH ST","","ARCADIA","IN","46030","TRADEWINDS LOGISTICS INC","3178190956","080000","","","","","N","","","","","","N","","1","02266216","08"
2017049656,"05","2","1925 W 450 SOUTH","","COLUMBUS","IN","47201","CELADON TRUCKING SERVICES","8666531549","019500","","","","","N","","","","","","N","","1","01880751","08"
2017049656,"05","2","104 WOODLAWN RANCH ROAD","","HOUMA","LA","70363","SAIA MOTOR FREIGHT LINE LLC","3239971002","013058","","","","","N","","","","","","N","","2","00029124","08"
2017058232,"99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","2","","11"
2017058255,"99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","1","","10"
2017060646,"99","8","E CENTRAL AVE,PO BOX U","","AVIS","PA","17721","SUSQUEHANNA TRANSIT CO","9999999999","044000","","","","","N","","","","","","N","","1","","11"
2017066965,"03","1","110 W COLUMBIA ST","","SCHUYLKILL HAVEN","PA","17972","EVANS DELIVERY CO. INC.","5703859048","017000","","","","","N","","","","","","N","","2","00038111","08"
2017068045,"99","8","1234 MARKET ST","","PHILADELPHIA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","1","","11"
2017068305,"02","1","8275 U.S. ROUTE 130","","PENNSAUKEN","NJ","08110","CANADA DRY DELEWARE VALLEY","8566226767","054000","","","","","N","","","","","","N","","3","00033335","08"
2017070512,"99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","2","","11"
2017076257,"99","9","1054 OLD FORD RD","","HUNTINGDON VLY","PA","19006","SOMO INC","9999999999","014000","","","","","N","","","","","","N","","3","","05"
2017078719,"99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","2","","11"
2017078887,"99","9","14000 FARADAY ST","","PHILA","PA","19116","TJ SIGN SERVICE","9999999999","025500","","","","","N","","","","","","N","","2","","05"
2017088744,"99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","2","","11"
