"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","41","N","2012032721","3","1","","1","12","Y","FORD","2000","02","3","","3","00","S","999","","","1","01","04","17","01","PA","1","04","2FMZA514XYB","TES"
"","04","N","2012032734","1","1","","1","12","Y","NISS","2012","02","1","","1","00","S","999","","","1","01","07","12","03","PA","1","01","3N1AB6AP9CL","P4D"
"","05","N","2012031602","3","1","","1","02","Y","CHEV","2008","01","1","","2","00","S","055","0","","1","01","02","15","03","NJ","1","01","KL1TD66608B","P5D"
"","04","N","2012024286","3","1","","1","12","Y","TOYT","2004","01","1","","1","00","E","035","0","","1","01","07","01","01","PA","1","01","1NXBR32E74Z","P4D"
"","04","N","2012026855","3","1","","1","07","Y","","2004","01","1","","1","00","N","055","0","","1","01","05","01","03","PA","1","01","1G6DM577840","P4D"
"","","","2012020368","","","","","","","","","","1","","","","","","","","2","32","","","","","2","","",""
"","","N","2012021391","","","","","","","","","","1","","","","","","","","3","31","","","","","2","","",""
"","02","N","2012009960","1","1","","2","06","Y","HOND","1998","01","1","","1","00","W","000","","","3","01","04","03","03","PA","2","01","1HGCG2255WA","PCP"
"","04","N","2012011260","3","1","","1","02","Y","BUIC","2007","01","1","","3","00","E","055","0","","1","01","02","17","03","PA","1","01","1G4HD57277U","P4D"
"","04","N","2012015328","3","1","","1","11","Y","NISS","2006","01","1","","1","00","E","999","0","","2","01","05","01","00","PA","2","01","1N4BA41E16C","P4D"
"","79","N","2012015182","0","4","","1","00","N","","","99","1","","1","99","E","055","0","","1","05","07","01","03","ZZ","0","05","",""
"","05","N","2012016374","2","1","","1","06","Y","HOND","2010","01","1","","1","00","S","050","0","","4","01","12","01","03","PA","2","01","JHMGE8H24AC","P4H"
"","04","N","2012006944","3","1","","1","12","Y","CHRY","2001","02","1","","1","00","S","999","0","","2","01","02","01","03","NJ","1","01","2C3AD46RX1H","P4D"
"","03","N","2012010752","3","1","","1","06","Y","VOLK","2012","01","1","","1","00","N","010","0","","2","01","02","02","03","PA","2","01","WVWED7AJXCW","P2H"
"","15","N","2012015834","2","1","","1","09","Y","CHEV","1994","01","4","","1","00","S","999","0","","2","01","04","01","01","PA","2","01","1GNFK16K8RJ","PUT"
"","04","N","2012015848","3","1","","1","01","Y","HOND","1998","01","2","","1","00","E","999","","","2","01","12","12","03","PA","2","01","2HGEJ864XWH","P4D"
"","04","N","2012015858","1","1","","1","01","Y","TOYT","1992","01","1","","1","99","E","999","","","1","01","99","01","99","PA","1","01","4T1SK12EXNU","P4D"
"","12","N","2012015831","2","1","","1","99","Y","DODG","1997","02","14","","1","12","N","999","","","1","01","03","01","03","PA","1","07","2B5WB35Y4VK","PSV"
"","15","N","2012017866","1","1","","1","10","Y","TOYT","2006","01","2","","1","00","E","999","0","","1","01","99","01","01","PA","1","01","JTMZD33V365","PUT"
"","73","N","2012017882","2","2","","1","06","Y","CHEV","1990","","0","","1","00","S","000","","","3","02","03","06","09","PA","3","07","1GBEG25K0L7","TIC"
"","04","N","2012017917","3","1","","1","03","U","CHEV","2009","99","1","","1","00","N","999","0","","2","01","12","01","01","NJ","2","01","1G1ZG57B19F","P4D"
"","04","N","2012017935","3","1","","1","09","Y","LEXS","1998","01","1","","1","00","N","999","0","","2","01","09","01","01","PA","3","01","JT8BF28G5W5","P4D"
"","04","N","2012017898","3","1","","1","07","Y","CHEV","2007","02","1","","1","00","E","999","","","2","01","12","01","06","PA","2","01","1G1ZT58FX7F","P4D"
"","15","N","2012003124","1","1","","1","06","Y","JEEP","2005","01","1","","1","00","W","000","0","","2","01","07","03","03","PA","3","06","1J4GL58K85W","T4W"
"","09","N","2012122385","1","1","","1","06","Y","HOND","2012","02","3","","1","00","W","999","","","2","01","07","01","03","PA","2","01","99999999999",""
"","04","N","2012122408","0","1","","1","03","Y","PONT","2002","01","1","","1","00","N","999","0","","1","01","07","01","01","PA","1","01","1G2HY54K524","P4D"
"","39","N","2012122429","0","1","","1","03","Y","OTHR","2004","01","1","","1","11","E","010","0","","2","01","03","10","02","PA","2","03","5FYD2LL134U",""
"","41","N","2012125175","3","1","","1","12","Y","DODG","2005","01","1","","1","00","S","050","0","","1","01","07","01","06","PA","1","01","2D4GP44L85R","TES"
"","04","N","2012129963","3","1","","1","11","N","CHRY","2002","01","1","","1","00","S","999","","","2","01","07","12","13","PA","2","01","1C3EL46X12N","P4D"
"","","N","2012120065","9","1","","1","06","","","","","1","","1","00","N","999","","","2","11","99","01","01","","2","20","",""
