"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2012026946,"05","1","2101 DEEBY DR","","CINNAMINSON","NJ","08077","LA ROBINSON TRUCKING","8567868480","008000","","","","","","","","","","","N","","1","01420271","08"
2012034747,"99","1","1431 BROAD ST","","DRESHER","PA","19025","NDV SCRAP METAL INC","9999999999","073280","","","","","N","","","","","","N","","2","","05"
2012036957,"99","8","1234 MARKET PLACE,14TH","","PHILADELPHIA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","2","","11"
2012041496,"99","8","1234 MARKET STREET,14TH","","PHILADELPHIA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","1","","11"
2012041791,"99","9","UNKNOWN","","UNKNOWN","ZZ","99999","MORRISVILLE SWEEPING INC","9999999999","999999","","","","","","","","","","999999999","N","","2","99999999","05"
2012042436,"02","3","1001 INDUSTRIAL HWY, BU","","EDDYSTONE","PA","19022","MCJUNKIN RED MAN CORP","9999999999","025950","","","","","N","","","","","","N","","2","00085655","03"
2012042556,"99","1","5400 GRAYS AVE","","PHILADELPHIA","PA","19143","BARTASH PRINTING INC","9999999999","053220","","","","","N","","","","","","N","","1","","05"
2012042561,"05","1","901NORTH LIBERTY","901 KANSAS AVE","NORTH LIBERTY","IA","52317","HEARTLAND EXPRESS OF IOWA","9999999999","068000","","","","","N","","","","","","N","","1","00134697","08"
2012047165,"99","9","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","999999","","","","","N","","","","","","","","1","","99"
2012048151,"99","1","1592 RT 38 PO BOX 619","","LUMBERTON","NJ","08048","MILLER AUTO LEASING","9999999999","999999","","","","","N","","","","","","N","","1","","05"
