"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","04","N","2009028477","2","1","","1","06","Y","MAZD","1996","01","1","","1","00","N","005","","","2","01","08","02","13","PA","1","01","JM1BB1417T0","P4D"
"","01","N","2009037438","3","1","","1","12","Y","CHRY","1997","01","1","","1","00","W","025","0","","1","01","05","01","01","PA","1","01","3C3EL45H7VT","PCV"
"","09","N","2009037455","3","1","","1","12","U","CHRY","2008","02","2","","2","00","N","999","","","1","01","03","99","07","NJ","1","01","1C31C45K88N",""
"","04","N","2009037460","3","1","","1","01","U","MRCU","1997","01","1","","1","00","E","999","","","1","01","08","10","01","PA","1","01","1MELM50U6VG","P4D"
"","51","N","2009037481","2","1","","3","04","N","DODG","1996","01","1","","1","00","S","999","0","","1","01","01","12","06","FL","1","04","3B7HC13Z1TG","TPC"
"","39","Y","2009031128","1","1","","2","07","Y","OTHR","2008","02","5","","1","12","N","000","","","2","01","03","03","06","PA","2","03","5FYE5FA118B",""
"","04","N","2009037340","2","1","","1","11","Y","NISS","1995","01","1","","1","00","E","999","0","","1","01","03","12","98","PA","1","01","JN1CA21D6ST","P4D"
"","04","N","2009037363","3","1","","1","06","Y","FORD","2000","01","2","","1","00","W","999","0","","2","01","04","01","01","PA","2","01","1FAFP34P4YW","P4D"
"","04","N","2009026003","9","2","","1","06","Y","MITS","1994","","0","","1","00","N","000","0","","3","02","12","06","08","PA","2","01","4A3AJ56G6RE","P4D"
"","04","N","2009026042","9","2","","9","10","U","MRCU","1997","","0","","1","00","N","000","0","","2","02","07","06","11","PA","2","01","1MELM53S7VA","P4D"
"","04","N","2009036200","3","1","","1","01","Y","FORD","2002","01","1","","1","00","W","999","0","","2","01","06","01","03","PA","1","01","2FAFP71WX2X","P4D"
"","04","N","2009026046","3","1","","3","12","Y","CHEV","2006","01","1","","1","00","W","999","0","","1","01","05","01","09","PA","1","01","1G1ZW63116F","P4D"
"","","N","2009037402","","","","","","","","","","1","","","","","","","","2","31","","","","","2","","",""
"","04","N","2009037415","2","1","","1","05","Y","ACUR","2006","01","1","","1","00","N","999","","","2","01","12","01","01","PA","2","01","19UUA66216A","P4D"
"","04","N","2009023527","1","1","","1","12","Y","MERZ","2008","02","1","","1","00","W","015","0","","3","01","07","02","03","PA","1","01","WDDGF81X88F","P4D"
"","","N","2009030066","0","1","","1","99","","","","","1","","1","00","W","999","","","2","11","99","99","99","","2","20","",""
"","","","2009026094","","","","","","","","","","1","","","","","","","","2","31","","","","","2","","",""
"","04","N","2009026103","0","1","","1","06","Y","","2000","01","2","","1","00","E","999","","","2","01","01","01","13","PA","2","01","1G6KY549XYU","P4D"
"","04","N","2009026122","2","1","","1","12","Y","KIA","1999","01","1","","1","00","N","999","0","","1","01","01","02","01","PA","1","01","KNAFB1216X5","P4D"
"","15","N","2009025920","1","1","","1","06","U","KIA","2006","01","1","","1","00","S","000","0","","2","01","03","03","01","PA","2","06","KNDJE723967","PUT"
"","15","N","2009025864","9","1","","1","11","Y","KIA","2006","02","1","","1","00","W","030","0","","1","01","05","01","98","PA","1","06","KNDJF724367","PUT"
"","15","N","2009025872","2","1","","1","03","Y","HYUN","2003","01","1","","1","00","S","999","","","1","01","03","98","00","PA","1","06","KM8SC13D33U","PUT"
