"CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ROUTE","SEGMENT","OFFSET","RDWY_ORIENT","LANE_COUNT","SPEED_LIMIT","STREET_NAME","ROAD_OWNER","ACCESS_CTRL","RDWY_COUNTY"
"2009079009","5","5","","","","N","01","35","TABOR AV","4","","67"
"2009080403","3","3","0095","0150","3544","N","3","55","DELAWARE EX","1","1","67"
"2009080439","4","3","","","","E","02","","PIKE ST","4","","67"
"2009079111","3","3","","","","W","01","","HORTTER ST","4","","67"
"2009107207","4","4","","","","E","02","","BUTLER ST","4","","67"
"2009079472","3","3","0291","0150","1353","N","1","25","BROAD ST","2","3","67"
"2009079476","3","3","","","","W","02","","BYBERRY RD","4","","67"
"2009079492","4","5","","","","N","02","","FRONT ST","4","","67"
"2009079500","5","5","","","","E","02","","RED LION RD","4","","67"
"2009079502","5","5","3013","0010","0","N","2","35","ISLAND AV","2","3","67"
"2009079508","4","4","1003","0021","0","S","2","35","WHITAKER AV","2","3","67"
"2009079511","3","3","2003","0060","561","N","3","","FIFTH ST","2","3","67"
"2009079517","4","3","6001","0340","2747","N","3","45","ROOSEVELT BL","2","3","67"
"2009079521","3","3","1007","0030","0","N","2","25","TACONY ST","2","3","67"
"2009079526","4","3","","","","E","02","","WARRINGTON AV","4","","67"
"2009079529","3","4","","","","S","01","","FOURTH ST","4","","67"
"2009079534","3","3","1009","0100","866","N","2","25","BUSTLETON AV","2","3","67"
"2009078801","3","3","4003","0050","299","N","2","30","WISSAHICKON AV","2","3","67"
"2009078813","4","4","2007","0090","1619","N","2","","FRANKFORD AV","2","3","67"
"2009078827","3","3","3010","0110","907","E","2","","MARKET ST","2","3","67"
"2009078832","4","4","3041","0010","0","B","2","","THIRTYTHIRD ST","2","3","67"
"2009078836","4","4","3041","0010","519","B","2","","THIRTYTHIRD ST","2","3","67"
"2009078860","4","4","2008","0031","1506","W","2","25","GIRARD AV","2","3","67"
"2009078864","3","3","3019","0050","691","N","2","35","ESSINGTON AV","2","3","67"
"2009078869","5","5","","","","S","02","25","THIRTYSIXTH ST","4","","67"
"2009078884","4","4","4019","0020","2040","E","2","25","WASHINGTON LN","2","3","67"
"2009078890","3","3","4013","0050","1700","E","2","35","LINCOLN DR","2","3","67"
"2009107391","3","3","","","","N","02","25","SAINT MARTINS LN","4","","67"
"2009107397","4","3","","","","S","01","25","TENTH ST","4","","67"
"2009080877","3","3","0001","0050","1353","N","2","35","CITY AV","2","3","67"
"2009076232","4","6","1002","0011","10","W","2","35","CHELTENHAM AV","2","3","67"
"2009081069","3","3","0076","3440","1606","E","2","50","SCHUYLKILL EX","1","1","67"
"2009083329","4","3","","","","W","02","","SEDGLEY AV","4","","67"
"2009083338","4","4","1009","0120","1523","N","3","25","BUSTLETON AV","2","3","67"
"2009083348","3","3","3005","0090","731","B","2","","LANCASTER AV","2","3","67"
"2009083353","4","4","4015","0040","1496","N","2","45","WAYNE AV","2","3","67"
"2009083369","4","3","","","","W","02","25","GIRARD AV","4","","67"
"2009083404","3","3","","","","N","02","35","FIFTH ST","4","","67"
"2009076527","3","3","","","","W","04","45","I 676","4","","67"
"2009078301","3","3","0095","0220","107","N","4","55","DELAWARE EX","1","1","67"
"2009080082","4","4","","","","N","02","","TABOR AV","4","","67"
"2009081468","3","3","0001","0140","72","N","2","50","ROOSEVELT BOULEVARD EX","2","1","67"
"2009083146","3","3","0291","0036","635","N","2","40","ISLAND AV","2","3","67"
"2009081541","4","4","","","","N","02","25","FIFTYSEVENTH ST","4","","67"
"2009081581","4","3","","","","N","02","","BELMONT MANSION DR PS","4","","67"
"2009081584","4","3","","","","E","02","35","LOCUST ST","4","","67"
"2009083499","3","3","0030","0061","2492","W","1","25","GIRARD AV","2","3","67"
"2009078661","3","3","0095","0314","1896","N","3","55","DELAWARE EX","1","1","67"
"2009081612","3","3","","","","N","01","25","SIXTEENTH ST","4","","67"
"2009082881","5","4","","","","E","02","25","SAINT LUKE ST","4","","67"
"2009078816","4","4","1009","0120","1284","N","3","25","BUSTLETON AV","2","3","67"
"2009078936","4","4","1007","0041","0","S","2","25","TACONY ST","2","3","67"
"2009078938","4","4","0013","0330","2789","E","2","35","BALTIMORE AV","2","3","23"
"2009078942","3","3","","","","S","01","","SALEM ST","4","","67"
"2009078947","4","3","","","","E","02","","WINDRIM AV","4","","67"
"2009078952","3","4","","","","E","02","","SIXTYSIXTH ST","4","","67"
"2009078782","3","3","0030","0050","92","B","2","30","GIRARD AV","2","3","67"
"2009078796","4","3","","","","N","02","25","TABOR AV","4","","67"
"2009078800","3","3","","","","N","02","","TOMLINSON RD","4","","67"
"2009079897","4","4","8015","0010","930","N","1","","RAMP RD","2","1","67"
"2009079914","3","3","0076","3465","960","W","3","50","SCHUYLKILL EX","1","1","67"
"2009078999","5","5","","","","E","01","","JACKSON ST","4","","67"
"2009079003","4","6","","","","N","03","","ISLAND AV","4","","67"
"2009079006","3","4","","","","E","01","25","FANSHAWE ST","4","","67"
"2009079011","3","3","1007","0060","2663","N","2","35","TACONY ST","2","3","67"
"2009079016","3","3","0030","0030","1134","E","2","30","LANCASTER AV","2","3","67"
"2009079021","3","3","2016","0070","1316","E","1","35","ALLEGHENY AV","2","3","67"
"2009079027","3","3","0611","0170","2001","N","2","30","BROAD ST","2","3","67"
"2009079030","3","3","2008","0040","0","E","2","25","GIRARD AV","2","3","67"
"2009079035","3","3","2004","0034","445","E","2","25","MARKET ST","2","3","67"
"2009079040","4","3","","","","E","02","30","SPRINGFIELD AV","4","","67"
"2009079045","5","5","","","","W","02","","SUSQUEHANNA AV","4","","67"
"2009079088","3","3","2009","0100","1771","N","3","25","HARBISON AV","2","3","67"
"2009079093","4","3","","","","N","02","","WARFIELD ST","4","","67"
"2009106182","3","3","0073","0110","205","N","2","25","NEW STATE RD","2","3","67"
"2009079222","3","4","","","","E","02","","CAMBRIA ST","4","","67"
"2009079096","3","3","0095","0294","233","N","4","55","DELAWARE EX","1","1","67"
"2009079100","3","3","1013","0030","1191","N","2","35","ACADEMY RD","2","3","67"
"2009079104","3","4","","","","W","01","","FRIENDSHIP ST","4","","67"
"2009079109","3","3","4007","0120","149","W","2","30","BETHLEHEM PK","2","3","67"
"2009079118","3","3","3009","0120","187","N","2","35","RIDGE AV","2","3","67"
"2009079124","4","3","","","","N","02","35","FIFTH ST","4","","67"
"2009079128","5","5","","","","W","02","","MIDVALE AV","4","","67"
"2009079131","3","3","2007","0150","300","N","2","25","FRANKFORD AV","2","3","67"
"2009079137","4","4","","","","E","02","","SIXTYSEVENTH ST","4","","67"
"2009079141","3","4","","","","N","02","","OAKLAND ST","4","","67"
"2009079147","3","3","","","","E","02","","LANSDOWNE AV","4","","67"
"2009079152","6","6","","","","E","01","25","VIOLA ST","4","","67"
"2009079157","3","3","","","","N","02","25","PEACH ST","4","","67"
"2009079161","5","4","","","","S","01","","ROBINSON ST","4","","67"
