"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","","","2003041902","","","","","","","","","","1","","","","","000","0","","2","31","","","","","","","",""
"","09","N","2003050663","3","1","","1","04","Y","BMW","1998","01","1","","1","00","N","999","0","","2","01","07","01","03","NY","2","01","WBADDC328WB",""
"","04","N","2003009102","2","1","","1","12","Y","FORD","1996","02","1","","1","13","W","999","0","","1","01","02","01","01","PA","1","01","2FALP71W3TX","P4D"
"","","","2003009412","","","","","","","","","","1","","","","","000","0","","2","31","","","","","","","",""
"9","05","N","2003034786","3","1","0","1","03","Y","FORD","1996","98","2","03","1","13","N","999","0","9","4","01","06","01","06","PA","3","01","2FALP71W9TX","P4D"
"","09","N","2003089362","0","1","","1","01","Y","FORD","1996","01","1","","1","13","S","035","0","","1","01","05","02","03","OA","1","01","2FALP71W2TX","4D"
"","04","N","2003084207","2","","","1","06","Y","PLYM","1997","","0","","1","00","","000","0","","2","02","05","06","00","PA","2","02","1P3EJ46C5VN","P4D"
"","15","N","2003084210","1","1","","1","12","Y","JEEP","1991","01","1","","1","00","E","999","0","","1","01","99","01","99","PA","1","01","1J4FJ58S9ML","TSW"
"","15","N","2003092146","1","1","","1","05","Y","JEEP","2002","01","1","","9","00","E","000","0","","2","01","04","03","08","PA","2","01","1J4GL48K32W","TUT"
"","09","N","2003088130","3","1","","1","06","Y","HOND","1997","01","2","","1","00","W","000","0","","2","01","07","03","01","NY","2","01","2HGEJ8640VH","4D"
"","09","N","2003085607","9","4","","9","99","U","UNKN","","99","1","","9","00","N","999","0","","2","05","99","99","99","","2","01","",""
"","04","N","2003091954","1","1","","2","01","Y","","1993","01","1","","1","00","E","999","0","","1","01","03","01","03","PA","1","01","1G6CD53B4P4","P4D"
"","05","N","2003075136","3","1","","1","11","Y","FORD","1995","02","2","","1","00","S","015","0","","2","01","04","12","03","PA","2","01","1FASP14J0SW","P4H"
"","50","N","2003091962","2","1","","2","12","Y","CHEV","1995","01","2","","1","00","E","999","0","","1","01","04","04","03","PA","1","01","1GCCS1948S8","TPK"
"","12","N","2003091987","1","1","","3","06","Y","CHRY","2002","02","1","","2","00","S","000","0","","2","01","11","03","03","PA","2","01","1C4GJ25B92B","PSV"
"","02","N","2003092001","2","1","","1","10","Y","PONT","1988","01","1","","1","00","W","999","0","","2","01","03","01","01","PA","2","01","1G2WK14W4JF","PCP"
"","04","N","2003089538","2","1","","1","12","U","FORD","1996","02","4","","1","13","N","999","0","","1","01","06","01","99","PA","1","01","2FALP71WXTX","P4D"
"","50","N","2003075171","2","1","","1","06","U","DODG","1996","02","1","","1","00","S","000","0","","2","03","04","03","06","PA","2","04","3B7HF13Y8TG","TPK"
"","60","Y","2003075173","9","4","","1","99","U","UNKN","","99","1","","1","00","S","999","0","","1","05","12","10","01","","1","05","",""
"","12","N","2003080204","2","1","","1","01","Y","DODG","1990","01","1","","1","00","W","999","0","","2","01","12","01","01","PA","2","01","2B4FK5536LR","PSV"
"","72","Y","2003075262","2","1","","1","00","Y","MACK","1997","02","1","","1","21","S","999","1","","1","01","01","12","01","PA","0","05","1M1AA18Y2VW","TDS"
"","09","N","2003080215","1","1","","1","11","Y","HOND","1989","01","2","","1","00","E","999","0","","3","01","09","01","03","PA","2","01","1HGCA5630KA",""
"","15","N","2003080240","1","1","","1","09","Y","MITS","2001","01","1","","1","00","S","999","0","","2","01","08","10","07","PA","2","01","JA4LS21H61P","PUT"
"","04","N","2003076612","2","1","","1","12","Y","BUIC","2000","01","1","","1","99","W","999","0","","2","01","04","01","02","PA","3","01","2G4WS52J0Y1","P4D"
"","15","N","2003080259","2","4","","1","01","U","CHEV","1990","02","1","","1","00","E","006","0","","1","05","01","01","00","PA","1","01","1GNCT18Z4L0","PUT"
"","04","N","2003080313","2","1","","1","13","Y","NISS","1997","01","1","","1","00","N","999","0","","1","01","04","01","00","PA","1","01","1N4BU31D5VC","P4D"
"","04","N","2003077962","3","1","","3","12","U","SUBA","1995","01","1","","1","00","E","999","0","","1","01","04","01","12","PA","1","01","JF1GC2359SK","P4D"
"","03","N","2003077972","3","1","","1","09","Y","FORD","1990","02","1","","1","00","N","999","0","","1","01","02","01","01","PA","1","01","1FACP41A0LF","P2H"
"","04","N","2003068796","3","1","","1","11","U","PONT","1998","01","1","","1","00","S","999","0","","1","01","04","01","03","PA","1","01","1G2WJ52K4WF","P4D"
"","04","N","2003066143","3","1","","1","11","U","CHEV","1998","02","1","","1","00","N","999","0","","2","01","08","01","03","PA","2","01","2G1WL52M9W9","P4D"
"","09","N","2003066068","2","1","","1","10","Y","CHEV","1787","02","1","","1","00","U","999","0","","2","01","01","15","06","VA","2","01","1Y1SK5143H2",""
"","50","N","2003066139","0","1","","3","07","Y","OTHR","2001","02","2","","1","00","W","999","0","","1","01","03","15","04","PA","1","05","1HTSCAAM01H","TCC"
"","04","N","2003062556","2","1","","1","01","Y","CHEV","1998","03","4","","1","00","S","025","0","","1","01","08","04","02","PA","1","01","1Y1SK5285WZ","P4D"
"","04","N","2003063745","1","1","","1","12","Y","CHEV","1998","01","3","","1","00","N","999","0","","1","01","08","12","01","PA","1","01","1G1ND52TXW6","P4D"
"","09","N","2003063761","9","4","","1","99","U","UNKN","","99","1","","9","00","U","999","0","","1","05","99","99","99","","1","01","",""
"","04","N","2003062483","0","1","","2","06","U","HOND","1991","01","2","","1","00","E","999","0","","2","01","03","01","01","PA","2","01","1HGCB7659MA","P4D"
"","04","N","2003062518","2","1","","1","12","Y","TOYT","1998","01","2","","1","00","E","999","0","","1","01","01","15","09","PA","1","01","JT2BF22K4W0","P4D"
"","09","N","2003062530","9","4","","2","99","U","UNKN","9999","99","1","","9","00","N","999","0","","1","05","99","99","99","ZZ","2","01","99999999999",""
"","09","N","2003062570","9","4","","1","12","U","UNKN","","99","1","","1","00","U","999","0","","1","05","03","01","00","","1","01","",""
"","","N","2003062593","","","","","","","","","","1","","","","","000","0","","2","31","","","","","","","",""
"","04","N","2003062618","1","1","","1","12","Y","NISS","1997","01","1","","1","00","W","999","0","","1","01","02","01","01","PA","1","01","1N4BU31D2VC","P4D"
"","04","N","2003062634","1","4","","1","12","Y","TOYT","1989","01","1","","1","00","W","999","0","","2","01","09","01","02","PA","2","01","JT2AE92E1K0","P4D"
"","09","N","2003063886","2","1","","1","12","U","ACUR","1994","02","1","","1","00","E","999","0","","1","01","01","01","01","DE","1","01","JH4DB755XR5","4D"
"","04","N","2003054926","3","1","","1","10","Y","FORD","1993","01","1","","1","00","W","999","0","","2","01","04","01","03","PA","2","01","1FALP52U7PA","P4D"
"","04","N","2003054968","3","1","","1","12","Y","OLDS","1990","01","4","","1","00","E","999","0","","1","01","01","01","98","PA","1","01","2G3AL54N3L2","P4D"
"","73","N","2003063724","1","1","","1","12","Y","CHEV","1998","02","1","","1","00","S","999","0","","1","01","03","01","01","PA","1","05","1GBJ7C1J4WJ","TTB"
"","15","N","2003067896","1","1","","1","06","Y","FORD","1994","01","1","","1","00","N","999","0","","2","01","04","02","01","PA","1","01","1FMDU34X5RU","PUT"
"","04","N","2003067914","0","1","","1","12","Y","TOYT","1998","99","1","","1","00","S","999","0","","2","01","08","01","02","PA","1","01","4T1BG22K8WU","P4D"
"","04","N","2003067923","3","1","","1","15","Y","OLDS","2001","01","1","","1","00","S","999","1","","2","01","01","12","04","PA","2","01","1G3NK52T41C","P4D"
"","09","N","2003067945","1","1","","1","11","Y","DODG","1995","02","1","","2","00","E","999","0","","3","01","04","15","06","CT","2","01","3B3E547C8ST","4P"
"","04","N","2003067886","0","1","","1","01","Y","PLYM","2000","01","1","","1","00","N","010","0","","1","01","07","01","01","PA","1","01","1P3ES46C0YD","P4D"
"","02","N","2003071421","0","1","","1","12","Y","TOYT","1990","01","1","","1","00","S","015","0","","1","01","05","01","13","PA","1","01","JT2AE96J9L3","PCP"
"","15","N","2003054746","3","1","","1","12","Y","GMC","2001","02","5","","1","00","S","999","0","","1","01","02","08","03","PA","1","01","1GKDT63W612","TUT"
"","15","N","2003054814","1","","","1","01","Y","MAZD","1992","","0","","1","00","E","000","0","","3","02","02","06","11","PA","3","01","4F2CU42X8NU","PUT"
"","04","N","2003062342","2","1","","1","06","N","FORD","1983","01","1","","1","00","W","999","0","","2","01","09","01","13","PA","3","01","1FABP36X3DK","P4D"
"","03","N","2003063406","3","1","","1","03","Y","FORD","1994","01","2","","1","00","W","999","0","","1","01","01","01","03","PA","1","01","2G2FV22P7R2","P2H"
"","","N","2003062311","","","","","","","","","","1","","","","","000","0","","2","31","","","","","","","",""
"","04","N","2003062323","3","1","","1","06","Y","TOYT","1995","01","2","","1","00","W","999","0","","4","01","07","01","06","PA","2","01","4T1SK12E6SU","P4D"
"","04","N","2003062798","3","1","","1","09","U","BUIC","1988","01","1","","1","00","W","999","0","","2","01","03","01","06","PA","2","01","1G4HR54C2JH","P4D"
"","04","N","2003062812","2","3","","1","07","U","FORD","1984","99","1","","1","00","E","999","0","","1","01","01","01","01","PA","1","01","1FABP393XEA","P4D"
"","04","N","2003065621","2","1","","1","09","Y","CHEV","1993","02","2","","1","00","N","999","0","","2","01","02","02","13","PA","2","01","1G1JC5447P7","P4D"
"","04","N","2003068447","1","","","1","06","Y","NISS","1995","","0","","1","00","U","000","0","","3","02","11","06","98","PA","2","01","1N4AB41D3SC","P4D"
"","15","N","2003054035","3","1","","1","06","Y","CHEV","2000","01","1","","1","00","W","999","0","","2","01","05","99","13","PA","2","01","1GNDT13W2Y2","PUT"
"","99","N","2003055221","","","","","","","UNKN","","","0","","1","","","999","0","","2","51","","98","99","","","","",""
"","","","2003055259","","","","","","","","","","1","","","","","000","0","","2","31","","","","","","","",""
"","04","N","2003055276","1","1","","1","06","Y","FORD","1998","01","1","","1","00","W","000","0","","3","01","01","03","01","PA","2","01","1FAFP13P9WW","P4D"
"","03","N","2003055453","1","1","","1","12","Y","FORD","1996","01","2","","1","00","N","999","0","","1","01","03","01","03","PA","1","01","1FASP11J2TW","P2H"
"","04","N","2003077615","2","","","2","08","Y","NISS","1993","","0","","1","00","N","000","0","","2","02","08","06","00","PA","2","01","1N4BU31F5PC","P4D"
