"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","UNIT_NUM"
"2004005533","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2004006758","U","U","U","U","","","0","U","U","99999","U","","","","","","","","U","","","","","1"
"2004018116","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2004018334","","","","","","","","","","","","","","","","","","","","U","Y","N","U","1"
"2004018336","U","U","U","N","","","0","U","U","99999","N","","","","","","","","U","","","","","1"
"2004018918","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2004019621","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2004020125","U","U","U","N","","","0","U","U","99999","N","","","","","","","","U","","","","","1"
"2003054059","","","","","","","","","","","","","","","","","","","","U","U","U","U","2"
"2004020850","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2004021218","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2004021730","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2"
"2004021966","U","U","U","N","","","0","U","U","99999","N","","","","","","","","U","","","","","1"
"2004023772","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2004023842","","","","","","","","","","","","","","","","","","","","U","Y","N","U","1"
"2004024233","N","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2004033808","N","U","U","U","U","Y","1","U","U","99999","N","","","","","","","","N","","","","","2"
"2004033835","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2004035067","","","","","","","","","","","","","","","","","","","","U","Y","N","U","1"
"2003077290","U","U","U","U","U","U","9","U","U","00000","U","U","U","U","U","9","U","U","U","","","","","2"
"2003080209","","","","","","","","","","","","","","","","","","","","U","U","U","U","2"
"2003082571","","","","","","","","","","","","","","","","","","","","U","U","U","U","2"
"2003084200","U","U","U","U","U","U","9","U","U","00000","U","U","U","U","U","9","U","U","U","","","","","1"
"2003089732","U","U","U","Y","U","U","9","U","U","00000","U","U","U","U","U","9","U","U","U","","","","","1"
"2003090180","U","U","U","U","U","U","9","U","U","00000","Y","U","U","U","U","9","U","U","U","","","","","2"
"2003090244","U","U","U","U","U","U","9","U","U","00000","U","U","U","U","U","9","U","U","U","","","","","1"
"2003090466","","","","","","","","","","","","","","","","","","","","U","U","Y","U","1"
"2003091982","","","","","","","","","","","","","","","","","","","","U","U","U","U","2"
"2003091989","","","","","","","","","","","","","","","","","","","","U","U","U","U","2"
"2003092520","","","","","","","","","","","","","","","","","","","","U","U","U","U","1"
"2003093288","","","","","","","","","","","","","","","","","","","","U","U","U","U","2"
"2004043448","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2004044705","U","U","U","N","","","0","U","U","99999","N","","","","","","","","U","","","","","1"
"2004045144","U","U","U","Y","","","9","U","U","99999","N","","","","","","","","U","","","","","1"
"2004045324","U","U","U","Y","U","U","1","U","U","99999","N","","","","","","","","U","","","","","1"
"2004047295","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2004047335","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2004047380","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2004047420","U","U","U","U","","","","U","U","99999","N","","","","","","","","U","","","","","1"
"2004048761","U","U","N","U","","","9","U","U","99999","N","","","","","","","","U","","","","","1"
"2004049442","U","U","U","U","N","N","1","U","U","99999","N","","","","","","","","U","","","","","1"
"2004049995","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
