"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2003030893,"99","8","4611 Bond Ave","","Drexel Hill","PA","19026","Upper Darby School District","6103527112","999999","","","","","N","","","","","000000000","N","","1","00000000","11"
2003050458,"99","8","1234 Market Street","","Philadelphia","PA","19106","SEPTA","9999999999","999999","","","","","N","","","","","000000000","N","","1","00000000","11"
2003055278,"99","1","unknown","","unknown","ZZ","99999","unknown","9999999999","000000","","","","","N","","","","","000000000","","","2","00000000","06"
2003062578,"99","1","old york rd","","ringogs","NJ","08551","buttercup farms","9999999999","080000","","","","","N","","","","","000000000","","","1","00000000","08"
2003063744,"99","8","unknown","","philadelphia","PA","99999","philadelphia school","9999999999","999999","","","","","N","","","","","000000000","N","","1","00000000","11"
2003063773,"99","8","1234 MARKET ST","14TH FLOOR","PHIALDELPHIA","PA","19107","SEPTA","2155807145","","","","","","N","","","","","999999999","","","1","00999999","11"
2003065913,"99","1","6605 GOV PRINTZ BLVD","","WILMINGTON","DE","19806","RYDER TRUCK RENTAL INC","9999999999","080000","","","","","N","","","","","000547560","N","","1","00006735","08"
2003067920,"99","1","fox & abbottsford","","philadelphia","PA","99999","phila water supply","2156852012","035000","","","","","N","","","","","999999999","N","","1","99999999","05"
2003074808,"99","6","4356 n 8th","","philadelphia","PA","19140","costello auto","9994572220","000000","","","","","N","","","","","000000000","","","3","00000000","05"
2003075173,"99","1","unknown","","unknown","ZZ","99999","unknown","9999999999","000000","","","","","N","","","","","000000000","","","1","00000000","05"
2003076496,"99","3","1501 washington st","","braintree","MA","021849048","clean harbors inc","8565895000","080000","","","","","N","","","","","000000000","","","2","00000000","08"
