"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2002049490,"99","1","603 w. ashland ave","","glenolden","PA","19036","delaware valley exp","9999999999","070000","","","","","N","","","","","000000000","","","2","00000000","06"
2002050380,"99","8","1200 conroy pl","","easton","PA","18040","vectour of penn inc","9999999999","000000","","","","","N","","","","","000000000","","","1","00000000","11"
2002050380,"99","1","3650 n. dirkson prkwy","","springfield","IL","62707","roadway express inc","9999999999","000000","","","","","N","","","","","000000000","","","3","00000000","06"
2002051981,"99","1","112 ONONDAGO TRAIL","","MEDFORD LAKES","NJ","08672","MICHAEL CLIFFORD","6096850237","080000","","","","","N","","","","","000249112","N","A-00999999","1","00978306","08"
2002053930,"05","9","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","999999999","UNKNOWN","9999999999","999999","","","","","","","","","","999999999","U","A-00999999","1","99999999","99"
2002053930,"05","9","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","999999999","UNKNOWN","9999999999","999999","","","","","","","","","","999999999","U","A-00999999","3","99999999","99"
2002054935,"99","8","8800 ESS5NGT0N A4E","QHILA","QHILA","PA","19153","DOLLAR ZENT CAR","9999999999","002000","","","","","N","","","","","000000000","N","A-00999999","1","00000000","10"
2002054944,"99","9","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","999999999","UNNKOWN","9999999999","999999","","","","","N","","","","","999999999","U","A-00999999","2","99999999","98"
2002055803,"99","8","1234 MARKET ST","","PHILADELPHIA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","N","","2","00000000","11"
2002055879,"99","9","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","999999999","UNKNOWN","9999999999","999999","","","","","N","","","","","999999999","U","A-00999999","1","99999999","98"
2003001862,"99","9","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","999999","","","","","N","","","","","999999999","U","","1","99999999","99"
2003001934,"99","9","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","999999","","","","","N","","","","","999999999","U","","1","99999999","99"
2003002041,"99","9","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","999999","","","","","N","","","","","999999999","U","","2","99999999","99"
2003009731,"99","2","I30I INDUSTRIAL","LAKE IN THE HILLS","UNKNOWN","IL","60102","SEYLLER TRANSPORT INC","8004230310","080000","3","","3","","Y","1","","1","","000188510","N","","1","00291481","08"
2003010788,"99","9","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","999999","","","","","N","","","","","999999999","U","","1","99999999","99"
2003011370,"99","9","UNKNOWN","","UNKNOWN","ZZ","999999999","UNKNOWN","9999999999","999999","","","","","N","","","","","999999999","U","A-00999999","1","99999999","98"
2003011370,"99","9","UNKNOWN","","UNKNOWN","ZZ","999999999","UNKNOWN","9999999999","999999","","","","","N","","","","","999999999","U","A-00999999","2","99999999","98"
2003011381,"99","8","UNKNOWN","UNKNOWN","UNKNOWN","PA","999999999","UNKNOWN","9999999999","999999","","","","","N","","","","","999999999","N","","2","99999999","11"
2003011399,"99","9","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","999999999","UNKNOWN","9999999999","999999","","","","","N","","","","","999999999","N","","1","99999999","99"
2003016380,"99","8","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","999999999","UNKNOWN","9999999999","999999","","","","","N","","","","","999999999","N","","1","99999999","11"
2003016454,"99","2","397 WATERWAY ROAD","","OXFORD","PA","19363","TIPTON TRUCKING COMPANY INC","8004447178","080000","3","","","","Y","1","","","","000158105","N","","2","00282773","08"
2003016561,"99","8","1234 MARKET ST","","PHILADELPHIA","PA","","SEPTA","","000000","","","","","N","","","","","999999999","N","","1","99999999","11"
2003016972,"99","9","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","999999999","UNKNOWN","9999999999","999999","","","","","N","","","","","999999999","U","A-00999999","1","99999999","98"
2003017052,"99","8","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","999999999","UNKNOWN","9999999999","999999","","","","","N","","","","","999999999","N","","1","99999999","11"
2003020287,"99","9","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","999999999","UNKNOWN","9999999999","999999","","","","","N","","","","","999999999","U","A-00999999","2","99999999","98"
2003022289,"99","9","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","999999999","UNKNOWN","9999999999","999999","","","","","N","","","","","999999999","U","A-00999999","1","99999999","98"
2003022296,"99","9","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","999999999","U;NKNOWN","9999999999","999999","","","","","N","","","","","999999999","U","A-00999999","1","99999999","98"
2003022929,"99","9","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","999999999","UNKNOWN","9999999999","999999","","","","","N","","","","","999999999","U","A-00999999","1","99999999","98"
2003024670,"99","9","1901 PHOENIX BLVD","","ATLANTA","GA","30349","LANOTRANSPORTAILON","8888314448","080000","","","","","N","","","","","000292922","N","","1","00609595","06"
2003024670,"99","8","75590ALT0N0R2VL","","ROCKFORO","SL","61108","COACHUSA","2152717300","044000","","","","","N","","","","","000000000","N","","2","00212314","11"
2003025301,"99","9","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","999999","","","","","N","","","","","","U","","1","99999999","99"
2003025320,"99","1","1205 SIXTY EIGHTH ST","","BALTIMORE","MD","21237","OST TRUCKING COMPANY INC","8003550126","080000","","","","","N","","","","","000166511","N","","3","00247537","08"
2003025501,"99","9","2915 NORTH LOUDON","","BALTIMORE","MD","99999","PENSKE TRUCK LEASING","8778802867","000000","","","","","N","","","","","000000000","U","","1","00000000","08"
2003028092,"99","1","4700 MOUNT HOPE DR","","BALTIMORE","MD","21215","AMERICAN RED CROSS","4107647000","000000","","","","","N","","","","","000000000","N","","1","00000000","09"
2003034221,"99","9","UNKNOWN","","UNKNOWN","ZZ","999999999","UNKNOWN","9999999999","999999","","","","","N","","","","","999999999","U","","2","99999999","99"
2003034226,"99","8","1234 MARKET ST","","PHILADELPHIA","PA","19107","SEPTA","2155088513","999999","","","","","N","","","","","999999999","U","","2","99999999","11"
2003035344,"02","9","3033 S 63RD ST","","PHILADELPHIA","PA","19103","CITY OF PHILADELPHIA","2156854293","999999","","","","","N","","","","","999999999","U","","1","99999999","99"
